"V1" "V2" "V3"
898 2042 4409
832 1779 4979
871 1843 4781
936 2007 4296
896 2123 5139
987 2091 5641
900 1888 4240
917 1933 4237
954 1928 4676
1002 1930 4211
1063 1858 4495
875 1928 5098
955 1679 4221
960 2029 4338
1017 1630 4044
871 1961 3886
910 1705 4513
896 1876 4199
865 2000 5259
873 1813 4322
921 1698 4106
913 1996 4244
1001 1872 4381
938 2080 4950
971 2224 4968
990 2087 4273
922 1938 4632
1024 2065 4706
925 2174 4293
925 1932 4893
963 1988 4758
960 1874 3959
1033 1906 4126
927 1842 4168
903 1804 3962
940 1907 4369
869 2019 3070
863 1771 3613
820 1818 4367
900 1945 3731
872 1770 4189
906 1923 4305
905 2027 4434
848 2127 4420
811 1960 4134
914 1916 4409
849 1938 4819
933 1955 5172
1015 1929 4019
910 1838 4318
911 1958 4759
835 1930 4603
867 1977 4808
898 1929 4218
897 1843 4731
850 2036 5157
838 2189 4327
906 1955 4765
875 2220 4883
880 2453 5040
936 2189 4895
882 2031 5065
845 2074 4657
877 2073 5610
931 2238 4746
945 1968 4876
903 1912 4674
920 2184 4422
946 2149 5224
960 1882 4423
838 2052 5912
826 1688 5666
987 2233 5737
897 1930 5756
872 2134 5736
838 2288 5477
901 2059 5812
970 1987 5830
899 2134 4781
925 2323 6320
881 2396 6041
913 2631 5823
958 2201 5878
865 2438 5701
895 2228 5770
898 2641 5309
884 2376 6005
913 2610 7545
910 2401 5846
1003 2635 5817
1039 2183 6365
875 2201 5688
954 2100 6169
965 2245 6066
902 2431 5986
854 2639 6485
994 2382 5490
874 2443 5830
859 2168 5423
827 2188 5907
974 2181 4479
848 2443 6063
893 2292 5729
1016 2474 6387
878 2366 5822
912 2406 7188
906 2379 6097
995 2624 6421
961 2185 6576
941 2328 6224
915 2448 6019
962 2370 6965
888 2297 6229
934 2647 6055
1047 2318 6416
957 2635 6948
974 2247 7457
918 2137 6284
915 2127 6910
932 2251 6104
1007 2357 6151
988 2068 6558
866 2834 6270
901 2282 6591
896 2101 6572
869 2627 6840
920 2273 6960
916 2379 5649
977 2327 7094
946 2602 6804
891 2225 5854
979 2397 5768
882 2414 5704
975 2120 5453
1035 2171 5895
1043 2121 5874
1013 2188 6591
874 1911 5431
875 2225 6521
952 2123 5960
908 2080 6216
925 1951 5583
887 2094 5162
865 1992 5679
835 2123 5261
872 2052 5644
926 2092 4989
882 2095 4891
940 1853 5219
866 2055 4868
799 1960 4907
920 2194 4943
933 1885 4831
859 1864 4406
834 1935 4480
801 2025 4760
795 2027 4149
832 2017 4145
785 2013 3715
907 1901 3909
884 1864 4482
910 1835 4154
858 1995 4109
848 1678 3972
762 1871 4240
893 1793 4300
876 2063 4469
849 2044 4353
848 1767 3613
795 1566 4280
782 1709 3864
718 1681 3427
781 1733 3924
828 1408 3795
804 1799 3467
817 1562 3484
866 1701 3354
878 1627 3449
830 1704 3241
805 1478 3062
854 1486 3188
810 1673 4229
872 1741 3617
902 1671 3926
839 1910 3331
803 1613 3569
792 1714 3560
862 1749 3065
838 1615 3538
823 1348 3356
921 1739 3349
688 1584 3856
815 1557 3575
817 1782 3960
843 1755 3100
755 1786 3782
794 1580 3538
785 1860 3352
845 1740 3635
916 1952 4385
850 1783 3721
727 1754 3250
859 1761 3395
774 1714 3848
813 1783 4228
818 1800 3636
878 1883 4523
821 1411 3991
941 1934 3516
912 1702 3684
904 1713 3344
923 2009 4787
945 2075 4719
900 1793 3874
934 1920 3916
900 1886 3450
948 1919 4103
873 1999 4644
885 1853 4385
906 1940 3675
898 1913 4575
886 1785 4472
830 1899 4079
876 1885 4942
948 1953 4635
916 1867 5126
889 1801 4728
882 1975 5286
921 1870 4907
852 2085 5405
868 2073 5308
845 1912 4354
889 2004 4218
905 2083 4618
918 1859 4944
876 2128 4274
872 2106 4945
929 2069 4642
924 1904 4576
835 2088 4115
930 2091 5405
892 1709 4472
913 1998 4429
890 1799 4323
958 1825 4166
897 1997 4235
951 1806 3853
996 1930 4938
858 1878 4674
948 1998 4308
1034 2020 4827
963 1770 4683
902 1892 4310
1014 1689 4449
883 1949 4877
925 1811 4591
905 1992 4175
895 1979 4315
881 1959 4351
820 1936 4416
896 1931 3744
899 1765 3844
904 1779 3864
910 2061 3558
874 2061 4268
972 1978 4378
858 1794 4680
857 2156 4536
832 1805 4117
846 1743 4926
820 2023 4472
791 1951 4992
849 2019 5423
775 1842 3733
798 1654 4546
775 1899 5419
800 1941 5012
783 1818 5302
774 1804 4781
783 2179 4949
892 2112 4452
830 2242 4935
916 2028 4525
861 2293 4485
930 2121 4683
795 2153 5122
810 2143 4746
890 2140 4740
841 2066 4713
878 2248 5134
846 2259 4766
899 2287 5928
868 2039 4640
883 2184 5547
946 2054 6857
860 2051 5410
886 1941 4930
831 2242 5890
970 1939 5057
871 1976 5681
796 1874 5203
838 2050 5316
926 2355 5116
861 2207 5608
897 2238 4916
853 2211 5110
929 2034 5213
806 2086 4887
835 2147 5871
856 2080 6090
954 2269 6086
834 2437 5403
891 2251 5692
872 2360 5442
989 2457 5742
906 2406 5676
935 2343 5422
933 2085 5552
1013 2153 5231
920 1955 5882
892 2549 4454
968 2202 6051
972 2428 4733
871 2371 4859
840 2138 4610
921 2305 4585
911 2139 5179
865 1958 4729
913 1920 5598
1022 2210 3850
919 2295 4473
904 1906 4213
952 1938 2978
912 1732 4190
961 2130 3989
950 1906 4081
947 1984 3797
1018 1799 3993
1012 1951 4258
1003 1869 4840
956 2065 4456
906 2076 5026
905 2166 3940
930 2174 4668
990 2278 5213
868 2536 5247
958 2423 4826
982 2416 5117
999 2151 4848
951 2490 4151
961 2137 4648
905 1989 4246
940 2152 4406
965 1958 4849
918 1952 4163
932 2093 3509
874 2050 3986
915 1862 4089
916 1966 4992
786 1875 4164
860 1832 4155
850 1789 4185
902 1832 4152
898 1931 3839
919 2054 3948
879 2239 4572
882 2032 4223
843 1886 4206
846 1841 3705
820 1968 3940
855 1997 3632
906 2016 3776
881 1994 4366
871 2093 4446
902 2083 3737
814 2274 4051
906 2277 4300
970 2121 4695
864 2243 4130
926 2425 4107
864 2043 4486
983 2046 4532
915 2288 4568
869 1817 4756
914 1910 4519
921 1834 4622
812 2109 4880
849 1976 3966
966 1729 5049
872 1956 4664
879 2090 4566
895 1911 5234
896 2370 4577
825 2181 4846
810 2501 5402
911 2011 5159
893 2398 5335
890 2195 6153
892 2096 5141
876 2270 4908
842 2225 5513
943 1884 5027
828 1769 5010
892 1973 4916
815 1955 5441
830 2042 5186
839 2083 4981
864 1860 5709
900 2220 5149
821 2285 5174
839 1966 5744
801 1965 5921
829 2251 5143
885 2149 5758
979 2016 5359
914 2215 5233
830 2049 5817
959 2207 6221
856 2109 6164
945 2141 5615
881 2210 5332
911 2057 6190
852 2199 5768
911 2310 5381
975 2390 6866
892 2195 6513
906 2182 5462
877 2544 5934
926 1928 5745
898 2034 5600
912 2007 5711
938 2240 5841
1013 2125 4968
919 2023 6363
934 2390 5844
993 2121 6583
984 2089 6158
1013 2296 5799
893 2427 6183
994 2291 6113
922 2010 5912
944 2062 4789
847 1998 5837
940 1879 5028
929 2233 6328
849 1998 5521
943 2251 5008
815 2191 5112
875 2168 4528
964 2039 5403
1002 2191 5295
881 2040 4961
888 2329 5465
923 1843 4883
893 2054 4950
935 1906 4928
875 1911 5155
797 1750 5429
828 1990 4794
903 2113 4523
863 2030 4978
922 2163 5321
803 1985 4785
870 1995 4747
960 2049 4280
831 2193 5099
889 1801 4437
804 1935 4627
935 1922 4554
803 1863 4686
827 1834 4792
819 1773 5459
824 1951 5769
906 1904 4989
900 1886 4760
768 2202 6148
847 1993 5875
894 1815 5108
939 2059 5065
914 2356 6334
883 1975 5730
915 2008 4235
798 1878 6193
823 1802 5297
854 2147 5035
847 1888 5573
814 1970 4500
829 1878 4512
798 2070 5362
892 1877 6027
886 1837 5380
834 2094 5360
834 2202 5541
843 2151 5622
953 2014 4759
900 2027 5338
919 1793 4330
861 2212 5316
898 2301 4772
926 2026 5157
826 1977 5066
971 1884 5400
946 1849 5369
949 1889 4995
871 1740 5160
900 1849 4945
900 1718 4744
990 1959 5092
845 1751 4945
871 1724 4719
899 1661 4101
889 1542 4659
948 1776 4919
936 1798 5035
850 1745 4509
845 1643 4888
959 1752 4426
890 1968 4140
979 1814 4754
872 1790 4228
904 2074 4906
1021 1967 5167
996 2204 5099
1028 2063 5661
949 2137 5804
937 1879 5322
890 2060 4574
868 1956 4988
964 2061 4914
974 2054 4381
965 1944 5411
965 2201 4749
971 2102 3900
913 1949 4463
918 2003 4294
911 1947 4247
966 2073 4511
1007 2024 4625
930 2060 4197
863 1998 4553
961 2090 3795
995 2026 4216
1005 2174 4289
944 2152 5036
1015 2128 4508
931 2158 4454
1063 1997 4617
901 2077 4521
943 1964 3973
990 2144 3623
1120 1757 3404
964 1928 3989
1006 2195 3342
922 2160 3957
989 1838 3612
875 2105 3587
880 1765 2961
957 1840 3993
846 1964 3552
859 2017 4062
872 2169 4077
879 2043 3587
863 1912 3955
905 1805 3734
928 2181 4248
1001 2179 3794
996 2245 3242
977 2045 3085
968 2022 3586
923 1834 3765
992 2025 3325
878 1876 3666
870 2074 3424
968 1923 3614
1062 2093 3846
918 1812 3214
954 1723 3637
1040 1763 4247
975 1911 3973
939 1876 4001
944 2083 3544
1078 2221 3622
1008 1856 3621
892 1853 4397
932 1688 4251
951 1777 3653
975 2014 3947
968 1967 3909
993 2026 4064
1112 1930 4014
1008 1902 3606
1098 1874 3849
1009 1979 3633
948 2179 3684
983 1793 3574
1009 1722 4254
955 1892 4052
855 1820 3693
926 1729 4255
792 1912 4004
844 1918 4683
897 1690 4208
782 2134 4112
844 1669 4588
814 1778 4079
763 1777 4506
