"Orig-Data Q" "CC-Data Q" "Model Q" "No Struc. Q" "Orig-Data L" "Orig-Data U" "CC-Data L" "CC-Data U" "Model L" "Model U" "No Struc. L" "No Struc. U"
0.947048611111111 0.94391244870041 0.936892361111111 0.929947916666667 0.934117177777936 0.959980044444287 0.927232738556033 0.960592158844788 0.922145129150708 0.951639593071514 0.913964268939947 0.945931564393387
0.908466819221968 0.900662251655629 0.903203661327231 0.888558352402746 0.881430274702249 0.935503363741687 0.866927093078544 0.934397410232715 0.872483095843443 0.93392422681102 0.857057383783777 0.920059321021715
0.907542579075426 0.902621722846442 0.874695863746959 0.849391727493917 0.879537837305539 0.935547320845312 0.867060523944619 0.938182921748264 0.840160263916756 0.909231463577162 0.81102731751249 0.887756137475345
0.684 0.666923076923077 0.6981 0.64735 0.663624668403433 0.704375331596567 0.641302638367191 0.692543515478962 0.674711166548248 0.721488833451752 0.624389825599321 0.670310174400679
0.593 0.583846153846154 0.60485 0.5641 0.57146932504735 0.61453067495265 0.55705122654569 0.610641081146618 0.580514703163534 0.629185296836466 0.540913326418203 0.587286673581797
0.0375 0.0338461538461538 0.04005 0.03465 0.029173756720182 0.045826243279818 0.0240161379415868 0.0436761697507209 0.0312730205349834 0.0488269794650166 0.0262971974823251 0.0430028025176749
0.5715 0.562307692307692 0.5844 0.5419 0.5498121438667 0.5931878561333 0.535339745416992 0.589275639198393 0.559846958663938 0.608953041336062 0.51821679772592 0.565583202274081
0.5065 0.496153846153846 0.51305 0.4792 0.484588788217691 0.528411211782309 0.468974840131669 0.523332852176023 0.489618094090661 0.536481905909339 0.455700341793212 0.502699658206788
0.6445 0.626153846153846 0.6532 0.6032 0.623521986692817 0.665478013307183 0.599853382811765 0.652454309495927 0.629223794897766 0.677176205102234 0.578967798144466 0.627432201855534
0.033 0.0346153846153846 0.0357 0.03455 0.025171053952569 0.040828946047431 0.024678249788603 0.0445525194421662 0.0268180394059058 0.0445819605940942 0.025251063451016 0.043848936548984
0.0545 0.0476923076923077 0.0527 0.0483 0.0445513967647297 0.0644486032352703 0.0361074893100053 0.0592771260746101 0.0423904554509362 0.0630095445490638 0.038676369897324 0.057923630102676
0.017 0.0169230769230769 0.01315 0.0136 0.0113345512819981 0.0226654487180019 0.00991159481913687 0.023934559027017 0.00810926999137474 0.0181907300086253 0.008320515416631 0.018879484583369
0.0185 0.0184615384615385 0.0146 0.0157 0.0125943988916682 0.0244056011083318 0.0111440167344652 0.0257790601886117 0.0092584235379013 0.0199415764620987 0.0100752529299259 0.0213247470700741
0.461 0.480769230769231 0.4246 0.4691 0.439153697723559 0.482846302276441 0.453609531448849 0.507928930089613 0.402223538206129 0.446976461793871 0.445916927284597 0.492283072715403
0.0195 0.02 0.01565 0.0167 0.0134399780410065 0.0255600219589935 0.0123896531522688 0.0276103468477312 0.0101014592175066 0.0211985407824934 0.0109125547624666 0.0224874452375334
0.0215 0.0223076923076923 0.01875 0.0273 0.0151432850345065 0.0278567149654935 0.014279739020076 0.0303356455953086 0.0126030513876599 0.0248969486123401 0.0173952513514336 0.0372047486485664
0.0395 0.0430769230769231 0.0359 0.03765 0.0309634905467038 0.0480365094532962 0.0320402731774488 0.0541135729763974 0.0276054777462937 0.0441945222537063 0.0289835816788307 0.0463164183211693
0.0275 0.03 0.02335 0.02515 0.0203328871107001 0.0346671128892999 0.0207269434264059 0.0392730565735941 0.0164826158955439 0.0302173841044561 0.0177919367599374 0.0325080632400626
0.0825 0.08 0.067 0.06415 0.0704423380456882 0.0945576619543118 0.0652526046836141 0.0947473953163859 0.055656981025293 0.0783430189747071 0.0529523373411036 0.0753476626588964
0.329 0.326153846153846 0.3412 0.3157 0.308408295264869 0.349591704735131 0.300669819893168 0.351637872414524 0.319607243600849 0.362792756399151 0.292705900896984 0.338694099103016
0.9055 0.904615384615385 0.9055 0.9055 0.892679846511798 0.918320153488202 0.888647493371317 0.920583275859453 0.892679846511798 0.918320153488202 0.892679846511798 0.918320153488202
0.066 0.0707692307692308 0.066 0.066 0.0551187572505971 0.076881242749403 0.0568293055698691 0.0847091559685924 0.0551187572505971 0.076881242749403 0.0551187572505971 0.076881242749403
