"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
3 2 1 2 1 49
2 1 1 1 1 85
2 1 2 2 1 40
1 2 2 2 1 43
1 1 1 1 1 73
1 1 2 1 1 65
1 1 2 1 1 60
1 1 2 2 1 55
3 2 2 1 1 47
3 1 1 1 1 45
1 1 1 1 1 54
1 1 2 1 1 59
1 1 2 1 1 70
2 1 2 1 1 58
1 2 2 1 1 51
1 1 1 1 1 59
1 2 2 1 1 31
2 1 2 8 2 49
1 1 2 1 1 73
3 1 1 1 1 35
3 1 1 1 1 75
3 1 1 1 1 47
3 1 1 1 1 31
1 1 2 2 1 75
1 1 1 1 1 66
3 1 1 1 1 44
1 2 2 1 1 39
1 1 2 2 1 68
1 2 2 1 2 53
3 1 2 2 1 46
1 1 1 1 1 28
3 1 1 1 1 49
1 1 1 1 1 52
3 1 1 1 1 50
2 1 1 1 1 94
2 2 2 1 1 25
3 1 1 1 1 40
1 1 1 1 1 55
2 1 2 6 1 74
1 1 1 1 1 56
1 1 1 5 1 28
2 1 1 1 1 48
2 1 1 7 5 73
1 1 2 1 1 71
1 1 2 1 1 57
3 2 1 1 1 38
1 1 1 1 1 83
1 1 1 1 1 59
1 1 1 1 1 56
1 2 2 1 1 68
1 1 2 1 1 63
3 1 2 1 1 47
1 1 2 1 1 36
1 1 1 1 1 78
2 1 1 1 1 87
1 1 2 6 1 72
1 2 1 6 1 23
1 1 2 1 1 71
1 1 2 1 1 32
1 1 2 1 1 41
3 2 1 1 2 21
1 1 1 1 1 64
1 2 1 1 1 21
2 2 1 1 2 36
2 1 2 1 5 50
1 2 1 1 1 38
3 2 1 1 1 29
1 1 1 1 1 45
1 1 1 1 1 71
2 1 2 2 1 56
3 1 1 1 1 54
1 1 1 1 1 65
2 2 1 1 2 28
2 1 1 1 1 54
1 2 2 2 1 66
1 1 1 1 1 58
1 1 1 1 1 61
1 1 1 1 1 55
1 1 2 1 1 55
1 1 2 1 1 58
3 1 2 1 1 43
2 1 1 1 2 53
3 1 1 1 1 43
2 1 2 1 1 48
2 1 1 1 1 43
1 1 1 1 1 70
2 1 2 1 1 54
1 1 1 1 1 82
3 1 2 8 1 67
2 2 2 1 1 30
1 1 2 1 1 43
1 2 1 1 1 21
3 1 1 1 1 57
2 1 2 1 1 44
2 1 1 2 1 73
1 1 1 1 1 66
2 1 1 1 1 56
3 1 2 1 1 36
1 1 1 1 1 73
1 1 2 1 1 58
3 1 1 1 5 42
1 1 1 1 1 53
1 1 2 2 1 33
1 1 1 1 1 81
1 1 2 1 1 54
2 1 2 1 1 81
3 1 2 1 1 37
1 2 1 1 1 32
1 1 2 2 1 79
1 1 1 1 1 65
1 1 2 1 1 36
1 1 1 1 1 91
3 1 1 1 1 58
2 1 2 6 1 34
1 1 1 1 1 34
1 1 1 1 1 76
2 1 2 1 1 35
1 2 1 1 1 27
3 1 2 1 1 41
1 1 1 1 1 56
2 1 1 4 1 39
3 1 1 1 1 37
1 1 1 1 1 62
1 1 1 1 1 54
1 2 1 1 1 38
1 2 2 2 1 30
3 1 1 4 1 37
1 2 1 2 1 51
1 2 2 1 1 62
2 1 2 1 1 34
2 2 2 1 5 44
1 1 2 1 1 86
1 1 1 1 1 86
3 1 2 1 1 39
1 2 1 1 4 63
3 1 1 8 1 62
3 1 1 1 1 36
1 1 1 1 1 77
1 1 1 1 1 72
1 1 1 1 1 28
2 1 1 1 1 33
2 2 2 1 2 43
1 1 2 1 1 60
1 1 1 1 1 64
1 1 2 1 1 74
1 1 2 1 1 81
2 1 1 1 1 72
2 1 1 2 1 60
2 2 2 1 1 54
1 1 1 1 1 64
1 1 1 1 1 46
1 1 1 1 1 62
1 1 2 1 1 70
2 1 1 1 1 56
2 1 1 1 3 32
2 2 1 1 1 64
1 1 2 1 1 55
2 2 2 2 1 37
1 1 1 1 1 81
3 1 2 1 1 35
1 2 1 1 1 55
1 1 1 1 1 66
2 1 2 1 1 42
1 2 2 2 1 32
2 2 1 7 2 25
2 1 2 1 1 42
2 2 2 1 1 61
2 2 2 2 1 25
1 1 2 1 1 95
1 1 1 1 1 80
1 1 2 1 1 52
1 2 2 1 1 48
3 1 1 1 1 39
1 1 2 1 1 71
3 1 1 1 1 40
1 1 2 1 1 69
2 1 1 1 1 47
1 1 2 1 1 75
3 1 1 2 1 39
1 1 1 2 1 79
1 1 2 1 1 80
3 1 1 7 2 36
1 1 1 1 1 47
1 2 2 1 1 44
1 1 1 1 1 94
2 2 2 1 1 44
2 2 1 6 1 36
2 1 1 1 1 52
1 1 1 1 1 27
1 1 1 1 1 82
3 1 1 1 1 55
3 2 1 1 1 38
2 1 1 1 1 63
1 1 1 1 1 47
1 1 1 1 1 84
1 2 2 1 1 68
3 1 1 1 1 41
2 1 2 1 1 56
1 2 1 1 1 70
1 1 2 1 1 65
1 1 2 1 1 57
3 1 1 1 1 46
3 2 2 1 1 41
1 1 1 1 1 63
1 1 2 1 1 61
3 2 1 7 1 56
2 1 2 1 1 61
1 1 1 1 1 80
1 1 2 1 1 34
3 2 1 1 5 50
1 1 2 1 1 58
1 2 2 1 1 24
1 2 2 1 3 44
1 1 2 1 1 66
1 1 2 7 5 64
1 1 2 1 1 56
2 2 2 1 1 30
1 1 2 3 1 66
3 1 1 1 1 56
3 1 2 1 1 54
3 1 2 2 1 52
1 1 1 1 1 74
1 1 1 1 1 43
1 1 1 1 1 74
1 1 1 1 1 28
3 2 2 1 1 34
3 1 1 1 2 56
1 1 1 1 1 79
1 2 1 2 1 56
1 1 1 1 1 59
2 1 2 1 1 50
1 2 2 8 1 20
3 1 1 1 2 61
3 2 2 7 1 33
2 2 2 6 1 81
2 2 1 1 1 50
1 2 1 1 1 68
3 1 1 1 1 50
1 1 2 1 1 70
3 1 1 1 1 57
2 1 1 8 1 62
1 2 1 8 5 78
3 2 1 1 1 57
1 1 2 2 1 84
1 1 1 1 1 48
1 1 1 2 1 50
1 1 1 1 1 70
2 1 2 1 1 43
2 1 2 1 1 49
1 1 2 1 1 62
1 1 1 1 1 56
1 1 2 1 1 51
2 1 2 1 1 41
2 1 1 1 1 61
3 1 1 1 1 52
3 1 1 1 1 45
2 1 2 2 1 38
2 2 1 1 1 59
1 2 1 3 1 64
3 1 1 4 1 50
1 1 2 3 1 24
3 1 2 1 1 41
2 2 1 1 1 29
2 1 2 1 1 39
1 1 2 1 1 52
1 1 1 1 1 62
3 2 1 1 2 40
1 1 1 1 1 57
3 1 1 7 2 36
1 1 2 1 1 75
3 2 2 2 1 33
2 1 1 1 1 37
1 1 2 1 1 65
1 2 2 2 5 45
3 1 1 1 1 39
1 1 2 1 1 65
1 1 2 1 1 53
2 1 2 1 1 44
1 2 2 1 2 26
1 1 2 1 1 69
2 1 2 1 5 63
1 1 1 2 1 57
1 1 1 1 1 69
2 1 2 1 1 44
1 1 1 1 1 57
1 1 2 1 1 78
1 1 2 1 1 45
1 1 2 6 1 58
2 1 1 1 1 49
1 1 2 2 1 70
1 1 1 1 1 90
3 1 2 1 1 44
3 1 2 2 1 29
2 1 1 1 1 70
1 1 1 1 1 61
1 1 1 1 1 94
3 1 1 2 1 51
1 1 1 1 1 55
3 2 2 1 1 34
3 2 2 1 1 53
2 1 2 2 1 54
1 1 1 1 1 33
1 1 2 2 1 58
1 1 1 1 1 68
1 2 1 1 1 41
2 1 1 1 2 58
1 1 1 3 1 48
1 1 1 1 1 63
3 2 2 1 1 39
1 1 2 2 1 71
3 1 1 1 1 47
1 2 1 1 1 59
1 2 1 1 1 44
2 1 2 1 1 35
1 1 1 1 1 64
2 1 1 1 1 53
1 1 1 1 1 57
2 1 1 1 1 54
1 1 1 1 1 72
2 1 1 1 1 48
1 1 1 3 1 56
1 1 1 1 1 71
1 1 1 1 1 51
2 1 1 1 1 52
1 2 1 1 1 37
1 1 2 1 1 51
1 1 1 1 1 79
3 2 1 1 1 51
1 1 2 1 1 28
1 1 1 1 1 88
1 1 1 1 1 42
1 1 2 1 1 59
1 1 2 2 1 46
1 1 2 1 2 84
1 1 2 1 1 56
1 1 1 1 2 86
1 1 2 8 2 64
1 1 1 1 1 85
2 1 1 2 1 60
1 1 1 1 1 88
1 1 2 2 1 64
1 2 1 6 1 24
3 1 1 1 1 57
1 1 2 1 1 65
3 1 1 1 1 54
1 1 2 1 1 54
1 1 1 1 1 34
1 1 1 1 1 38
2 1 2 1 1 32
2 1 1 1 1 64
2 1 1 2 1 53
1 1 2 1 1 40
2 2 2 1 1 35
2 1 1 4 1 94
2 2 1 2 1 46
1 2 1 1 1 61
1 1 2 1 1 90
1 1 1 1 1 66
2 2 2 2 1 40
3 1 1 1 1 33
1 1 1 1 1 34
3 2 2 1 1 32
2 1 2 1 1 49
3 2 2 6 1 42
1 1 1 1 1 75
1 1 1 1 1 70
1 1 1 1 1 31
3 1 1 2 1 31
2 2 1 1 1 55
2 2 1 6 1 50
1 1 1 1 1 83
1 2 2 1 3 33
3 1 1 1 1 47
3 2 2 1 1 37
1 2 2 2 1 72
1 1 1 1 1 51
1 1 1 1 1 68
2 1 1 1 1 53
1 1 2 1 1 69
1 1 1 1 1 49
1 1 1 1 1 52
1 1 1 1 1 64
1 2 1 2 1 25
3 1 2 2 1 31
2 2 2 1 1 40
1 1 2 1 1 48
1 1 1 1 2 71
1 1 1 1 1 67
3 2 2 1 1 33
1 1 1 1 1 58
3 1 1 1 1 61
1 2 2 8 1 30
1 1 1 1 1 65
2 1 1 2 1 41
1 1 1 1 1 74
3 1 2 1 1 87
3 1 1 1 1 47
1 1 1 1 1 71
1 1 1 1 1 79
1 1 1 1 1 61
2 1 1 1 2 65
3 1 2 2 1 40
2 2 1 1 1 57
1 1 2 1 1 58
1 1 2 1 1 81
1 1 1 1 1 75
2 2 2 2 1 26
1 1 1 1 1 67
1 1 1 1 1 60
1 1 1 1 1 56
1 2 2 1 1 49
1 1 1 1 1 73
1 1 2 1 1 43
1 2 1 1 1 28
1 1 1 1 1 49
1 1 1 1 1 62
2 1 1 1 1 52
3 1 1 1 1 54
1 2 2 1 1 65
1 1 1 1 2 31
1 1 1 1 1 67
1 2 2 1 1 29
1 1 2 1 1 37
1 2 1 1 1 78
1 1 1 1 5 69
3 1 1 1 1 50
1 1 2 1 1 64
2 2 1 6 1 40
3 2 2 1 1 57
1 1 1 1 4 82
2 1 2 1 1 54
1 1 1 1 1 60
1 1 2 1 1 71
1 1 2 1 5 44
2 1 1 1 1 55
2 1 1 1 1 34
1 1 1 1 1 80
1 1 2 1 1 74
3 2 2 2 1 26
1 1 1 1 1 57
2 1 1 1 1 58
1 1 1 1 1 53
2 1 1 1 1 55
2 1 1 1 1 45
3 2 2 6 1 73
1 1 1 8 1 32
3 1 1 1 1 32
1 2 2 1 3 49
3 1 1 1 1 51
1 1 1 1 3 80
1 1 2 1 1 50
3 2 2 1 1 34
1 1 2 1 1 73
1 1 2 1 5 78
1 2 2 1 1 29
2 1 2 1 2 37
1 1 1 1 1 67
3 1 1 1 1 47
1 1 1 1 1 66
3 1 1 6 1 39
1 1 2 1 1 59
3 1 1 1 1 51
2 1 1 1 1 54
1 1 1 7 2 38
1 2 1 1 1 29
1 2 1 1 1 42
3 1 1 2 1 50
1 1 2 1 2 47
1 1 2 1 1 47
1 1 1 1 1 66
2 1 2 1 1 32
2 1 1 2 1 67
2 1 2 1 1 53
1 1 1 1 1 68
1 1 2 1 2 57
3 1 1 1 1 41
1 1 1 1 1 77
2 1 2 1 1 42
1 1 1 1 1 59
2 2 1 4 1 55
3 1 1 6 1 59
2 1 1 1 1 51
2 2 1 2 1 47
3 1 2 7 2 34
1 2 2 1 1 21
3 2 2 1 1 39
3 1 2 1 1 46
1 1 2 1 1 29
1 1 1 1 1 65
3 2 1 6 1 43
1 1 2 1 1 60
3 1 1 1 2 37
1 2 2 1 1 56
1 1 1 1 1 55
1 1 1 1 1 78
2 2 2 2 1 24
1 1 2 1 1 32
1 1 1 2 1 53
3 2 2 2 1 51
3 1 2 2 1 57
2 1 2 2 1 55
1 1 2 1 1 45
1 1 1 1 1 45
1 2 2 2 1 66
1 1 2 1 1 47
2 1 2 1 1 39
1 2 2 1 1 61
2 1 2 1 1 41
3 1 2 1 1 66
1 2 2 1 5 57
2 2 2 2 1 52
1 2 1 1 1 29
1 1 1 5 1 64
1 2 2 2 1 54
3 2 1 1 1 34
2 2 1 1 1 38
3 2 2 1 2 50
3 1 1 1 4 69
1 1 2 1 1 56
1 1 2 1 1 54
1 1 1 1 1 77
1 2 1 1 1 30
2 1 2 1 1 59
1 1 2 1 1 66
1 1 2 1 1 60
3 1 2 1 1 58
1 1 1 1 1 54
1 1 2 1 1 52
1 1 1 1 1 60
3 1 2 2 1 47
1 2 1 1 1 66
2 2 1 4 1 26
3 1 2 1 1 40
1 1 1 1 1 75
1 1 1 1 1 71
3 1 1 1 1 40
3 1 2 1 1 73
1 1 1 1 1 83
1 1 1 2 1 63
1 1 1 1 1 65
2 1 2 1 1 21
1 1 1 1 1 83
2 1 2 1 1 64
3 1 2 1 1 45
1 2 2 1 1 39
2 2 2 1 1 30
3 1 1 1 1 47
1 1 1 1 1 59
2 1 1 1 1 34
1 1 2 1 1 58
2 1 1 1 1 47
1 1 1 1 5 69
3 1 1 6 1 49
2 1 1 1 1 57
1 1 2 1 1 58
2 1 1 1 1 41
2 1 1 1 1 32
2 1 1 1 1 67
2 1 2 1 1 50
1 1 1 1 1 72
1 1 2 1 1 52
2 1 2 2 1 59
1 2 1 1 1 74
1 1 1 1 1 72
2 1 2 1 2 44
3 1 1 1 1 37
3 1 1 1 1 50
3 1 2 2 1 66
1 1 2 1 1 67
1 1 1 1 1 67
1 1 1 1 1 39
2 2 2 6 1 37
1 1 2 1 1 46
1 1 2 1 1 74
1 1 1 1 1 83
1 1 2 2 1 59
2 1 2 1 1 50
1 1 2 1 1 60
2 1 1 1 1 62
2 1 1 1 2 47
3 1 1 1 1 43
2 1 1 2 1 58
1 1 1 1 1 59
3 1 2 1 1 43
3 1 2 1 4 35
1 2 1 2 1 25
3 1 1 1 2 49
1 1 1 4 1 67
3 1 2 1 1 39
3 1 1 2 1 65
2 1 2 2 1 60
3 2 1 1 1 35
3 1 1 1 1 37
1 1 1 1 1 94
3 1 2 1 1 32
2 1 2 2 1 38
1 2 1 1 1 25
2 1 1 1 1 67
2 1 1 1 1 56
1 1 1 1 1 70
1 2 2 1 1 58
3 1 1 2 1 42
2 1 1 1 1 36
2 1 2 2 1 73
3 2 1 1 2 41
1 2 2 1 1 57
1 2 1 2 1 32
3 1 2 2 1 66
1 1 1 1 1 58
1 1 1 1 1 50
1 1 1 1 1 45
2 1 1 1 1 48
1 1 1 1 1 62
2 1 1 1 2 43
2 1 1 1 1 57
1 1 1 1 1 83
2 1 2 1 1 53
3 1 1 1 1 52
2 1 1 1 1 42
1 1 2 1 1 73
2 1 2 2 1 32
2 1 1 1 1 47
1 1 2 3 1 63
1 1 2 1 1 59
1 1 1 8 1 65
2 1 1 1 1 24
1 1 1 1 1 77
1 1 2 1 1 63
1 2 1 1 1 24
3 2 1 3 1 49
1 1 1 1 1 60
2 1 2 2 1 55
2 1 1 1 2 59
2 1 1 1 1 55
1 1 1 6 1 70
1 2 1 1 2 41
1 1 1 1 2 34
1 2 1 2 1 81
2 1 1 2 1 51
1 1 2 1 1 53
1 1 1 6 1 28
1 1 1 1 1 54
1 1 2 2 1 56
1 1 1 2 1 59
1 1 2 1 1 59
1 1 2 1 1 54
1 1 2 1 1 59
3 1 2 1 1 43
1 1 1 1 1 51
2 1 1 2 1 69
1 1 1 1 1 62
3 1 2 1 1 70
1 1 2 1 1 89
1 1 2 1 1 26
1 1 1 1 1 59
1 2 1 2 1 64
1 1 1 1 1 77
2 1 2 1 1 27
1 1 1 1 1 62
2 2 1 1 2 45
2 1 2 1 1 37
2 1 2 1 1 43
1 2 2 1 1 26
1 1 1 1 1 63
1 1 2 3 1 73
1 2 2 1 1 61
3 2 1 1 1 38
2 2 1 2 1 45
2 1 2 2 1 77
1 2 1 6 1 30
2 1 1 1 1 53
2 1 1 1 1 65
3 1 1 6 1 49
3 2 2 1 2 43
1 1 1 1 1 63
2 1 2 1 1 52
3 1 1 1 1 51
2 1 1 1 1 58
1 2 2 1 1 63
3 1 1 1 1 63
1 1 1 1 1 57
1 1 1 1 1 56
2 1 1 4 1 64
2 2 1 1 2 49
2 1 1 1 1 64
2 1 2 4 1 40
1 1 2 7 2 48
1 1 1 1 1 58
1 1 2 2 1 22
1 2 2 4 1 32
1 1 2 1 1 48
3 1 2 1 2 34
2 2 1 7 2 42
3 1 2 1 1 49
1 1 1 1 1 83
1 1 2 1 1 77
3 1 1 1 1 77
3 1 1 1 1 63
1 2 1 2 1 54
1 2 2 7 5 53
1 1 1 1 1 66
2 1 1 1 1 58
2 1 1 1 1 54
1 1 1 1 1 59
1 1 2 1 1 59
1 1 1 1 1 65
2 1 2 1 1 81
2 2 2 2 1 42
1 2 1 1 1 71
2 1 2 1 1 40
1 1 1 1 1 64
1 1 1 6 1 61
3 1 2 1 1 52
2 1 1 1 1 34
1 1 1 1 1 68
2 1 1 1 1 47
3 1 2 1 1 49
1 1 1 1 1 61
3 1 1 1 1 32
1 1 1 1 1 82
3 1 1 1 1 47
1 2 2 7 3 63
3 1 2 1 1 39
1 1 1 1 1 71
3 1 1 2 1 61
3 1 1 2 1 46
1 2 2 1 5 31
1 1 1 1 1 79
1 2 1 9 3 43
3 2 2 1 1 41
3 1 1 6 1 83
3 2 1 7 2 38
1 1 2 1 1 72
1 2 2 2 1 25
1 1 1 1 2 78
1 1 2 2 1 54
1 1 1 1 1 59
2 2 2 1 1 45
1 2 2 1 1 71
1 2 1 1 1 24
1 1 2 1 1 86
1 1 1 1 1 87
1 1 2 1 1 78
3 1 1 1 1 53
1 1 1 1 1 49
3 1 2 1 1 73
1 1 1 1 1 58
1 2 1 1 3 35
1 1 1 1 4 60
3 1 1 1 1 43
1 2 1 1 5 51
1 1 1 1 1 59
1 1 1 1 1 62
1 2 1 1 2 54
2 2 1 6 1 53
1 2 2 1 1 46
2 1 1 6 1 61
1 2 1 2 1 59
2 1 1 1 1 70
2 1 1 1 1 57
1 1 1 1 1 27
1 2 1 2 3 27
1 1 1 1 1 63
3 1 1 8 5 40
1 1 1 1 1 64
3 1 1 6 1 67
2 1 1 7 2 53
3 2 2 1 1 42
1 1 2 1 1 55
2 2 1 1 1 45
1 1 1 1 1 67
1 1 1 2 1 75
2 1 1 1 1 79
2 2 2 7 3 30
1 2 1 1 1 55
1 1 1 1 4 71
1 1 2 1 1 54
3 1 2 1 1 41
1 1 1 1 1 33
3 1 2 1 1 72
1 1 2 1 1 46
1 1 1 1 1 22
1 1 1 1 1 77
2 1 1 1 1 56
1 1 1 5 1 70
2 1 2 1 1 83
1 2 2 7 5 42
1 1 1 6 1 69
1 2 2 1 1 33
1 2 2 1 1 57
2 1 1 3 1 65
1 1 1 1 1 86
1 1 2 7 2 82
3 2 1 1 1 51
2 2 1 1 2 37
2 1 1 1 1 47
3 1 1 1 1 63
1 1 2 1 1 52
1 1 1 1 1 62
2 2 1 1 2 39
2 1 1 1 1 59
1 1 1 1 1 69
1 2 1 1 1 24
1 1 1 1 1 70
3 1 1 1 1 42
2 2 1 1 1 44
3 1 1 1 1 56
1 2 2 1 1 47
1 1 1 1 1 33
1 1 1 1 1 59
2 1 2 2 1 80
1 2 2 2 1 37
1 1 2 1 1 55
1 1 1 1 1 67
2 1 2 1 5 41
1 2 2 7 5 31
2 1 1 1 1 65
3 1 2 1 1 36
3 1 1 1 1 57
1 1 1 1 1 67
1 1 2 2 1 64
1 1 1 1 1 56
1 1 1 1 1 51
1 1 1 1 1 71
2 1 2 1 2 60
1 1 1 1 1 57
2 1 2 1 1 45
1 1 1 1 1 78
2 1 1 1 1 65
1 1 1 1 1 60
1 1 2 1 1 50
1 1 2 1 1 26
1 1 1 6 1 45
2 2 2 1 5 36
1 1 1 1 1 62
1 1 1 1 1 67
2 2 2 2 1 27
2 1 2 6 1 46
1 1 2 3 1 58
3 1 1 4 1 50
1 2 1 2 1 61
2 1 1 1 1 54
1 2 1 1 1 23
1 1 2 1 1 62
1 2 2 1 1 30
1 1 2 1 1 53
2 1 2 1 1 64
2 1 2 1 1 42
1 1 1 9 4 59
1 1 1 1 1 72
2 1 2 1 1 32
3 1 1 1 2 46
3 1 2 1 1 53
2 1 2 2 1 34
2 1 2 1 1 76
1 2 2 1 1 25
3 1 1 1 2 71
2 1 2 1 1 61
1 1 1 1 1 51
1 1 1 1 1 73
2 1 2 1 1 52
1 1 2 1 1 73
2 1 1 1 1 43
2 2 2 1 1 28
1 1 2 1 1 65
2 1 1 2 1 47
2 1 1 1 1 43
2 2 2 1 5 34
1 1 1 1 1 63
3 1 1 1 1 81
1 1 1 8 1 42
1 1 1 1 1 88
2 1 2 1 2 58
2 1 1 1 1 67
1 1 1 1 1 70
2 2 1 1 1 40
1 1 2 1 1 64
3 1 2 1 1 39
3 1 1 1 1 45
1 2 2 7 5 53
3 1 2 1 1 61
1 1 2 1 1 81
2 1 1 1 1 53
1 1 1 1 1 68
3 1 2 1 1 34
2 2 2 1 5 27
3 1 1 1 1 40
2 2 1 1 1 61
1 1 2 1 1 57
2 1 2 1 1 62
2 1 1 1 1 54
2 1 1 1 1 52
1 1 1 1 1 66
1 1 1 1 1 56
1 1 1 3 1 78
1 1 1 1 1 35
3 2 1 1 1 34
3 2 1 1 1 42
1 1 1 2 1 79
1 1 2 1 1 76
3 1 2 1 1 44
2 1 1 1 1 45
1 1 2 1 1 68
3 1 1 2 1 44
3 1 1 6 1 46
2 1 2 1 1 59
3 2 1 1 1 39
2 1 1 2 1 55
1 1 1 1 2 63
1 1 2 1 1 71
1 1 2 1 1 65
2 1 1 1 2 47
2 1 1 1 1 55
2 1 2 1 1 63
2 1 2 2 1 61
2 1 2 7 2 47
3 1 1 7 1 41
1 1 1 1 1 72
1 1 1 1 1 58
3 1 2 1 2 49
3 1 1 1 2 23
3 1 2 2 1 71
1 1 2 1 1 59
1 1 1 1 1 65
3 1 2 1 1 44
1 1 2 1 1 62
1 1 1 1 1 66
3 1 2 2 1 32
1 1 2 2 1 88
1 1 2 1 1 34
1 2 2 1 1 24
1 1 1 1 1 82
2 1 2 1 1 49
1 1 1 1 1 77
1 1 2 2 1 37
2 1 1 1 1 82
3 1 2 1 1 48
1 1 1 1 1 57
1 1 1 1 1 55
1 1 1 1 1 57
2 1 2 1 2 35
3 1 1 1 3 45
1 1 1 1 1 78
1 1 2 1 1 61
1 2 2 2 1 59
3 1 1 1 1 50
1 1 1 1 1 65
1 2 1 2 1 59
1 1 2 1 1 48
1 2 1 1 1 76
3 1 2 1 1 46
3 1 1 6 1 38
2 2 2 1 1 51
1 1 2 1 1 62
2 2 1 7 2 24
2 2 2 2 1 33
3 2 2 1 1 32
1 1 1 1 1 35
2 2 2 7 3 41
1 1 1 1 1 69
1 1 1 1 1 77
2 1 2 1 1 52
2 2 1 8 1 37
1 2 2 1 3 51
3 1 2 1 1 39
2 1 1 1 1 79
1 1 2 1 1 50
1 1 2 2 1 49
1 1 1 1 1 60
1 2 1 1 1 42
3 1 1 1 1 49
1 1 1 1 1 52
1 1 2 1 1 53
3 1 1 1 1 40
1 2 1 1 1 33
1 2 1 2 1 57
3 1 1 1 2 40
3 1 1 8 1 52
1 2 2 1 1 28
3 1 1 1 1 31
1 1 1 1 1 76
1 1 2 2 1 41
1 1 2 1 1 60
2 2 1 8 1 55
2 1 1 1 1 61
3 2 1 1 1 42
1 2 2 1 1 68
2 1 1 2 1 66
3 1 2 1 1 42
1 2 2 1 5 60
3 1 1 1 1 45
1 1 1 1 1 61
2 1 1 1 1 57
3 2 2 7 3 59
1 1 1 1 1 66
1 2 1 1 1 26
2 2 1 1 1 23
3 1 1 1 1 50
1 1 1 1 1 71
1 1 2 1 1 38
1 2 1 4 1 73
1 1 1 1 1 80
2 1 1 1 1 53
2 1 1 2 1 56
2 2 2 1 1 31
1 1 1 1 1 78
1 1 1 1 1 69
2 1 2 2 1 45
1 1 1 1 1 76
1 1 1 1 1 57
2 1 1 1 1 51
1 1 1 1 1 59
2 1 2 1 1 47
1 1 1 1 1 77
3 2 1 1 1 22
1 1 1 2 1 84
1 1 1 1 1 79
3 1 1 1 1 46
1 1 1 1 1 61
2 1 2 1 1 40
1 1 1 2 1 43
1 1 1 1 1 68
1 1 1 1 1 77
3 1 2 1 1 39
1 1 2 1 1 76
2 1 1 1 1 53
1 1 1 1 1 69
1 1 2 1 1 60
3 2 1 1 1 52
1 1 2 2 1 33
1 1 1 1 1 77
2 1 1 1 1 64
3 2 2 1 1 26
1 1 2 1 1 64
1 2 2 1 1 55
1 1 1 1 1 72
2 2 2 1 1 51
1 1 1 1 1 50
2 2 1 1 2 64
1 1 1 1 1 70
1 1 1 1 1 77
1 1 1 1 1 72
3 1 2 1 1 45
1 1 1 1 1 74
1 2 2 1 1 54
3 2 1 2 1 39
1 1 1 1 1 77
3 2 1 1 1 75
3 1 1 1 1 60
2 2 2 1 1 24
1 1 1 3 1 67
1 1 1 1 1 59
1 1 2 1 1 51
3 1 1 1 2 39
1 1 2 1 1 82
2 2 1 6 2 34
1 1 1 6 1 58
1 1 1 1 1 55
2 2 2 7 2 44
1 1 1 1 1 95
1 2 2 1 1 26
1 2 1 7 2 42
2 1 1 1 1 61
3 1 1 1 1 43
3 1 1 1 5 54
1 1 2 6 1 55
2 2 2 4 1 23
1 1 1 1 1 59
1 1 2 1 1 39
1 1 2 1 1 67
3 2 1 2 1 24
1 1 1 1 1 71
2 1 2 1 1 54
1 2 1 1 1 45
2 1 2 1 1 42
1 2 1 1 1 63
1 1 2 3 1 62
3 1 2 1 1 77
1 1 1 1 1 82
1 1 2 2 1 46
2 2 1 1 1 25
1 2 1 1 5 27
2 1 1 1 1 50
2 2 1 2 1 46
1 2 2 1 1 57
1 1 1 1 1 87
3 1 2 1 1 45
1 1 1 1 1 68
1 2 1 1 1 36
1 1 1 1 1 72
2 1 2 1 1 33
2 2 2 1 1 34
1 1 1 1 1 63
3 1 1 1 1 42
2 1 1 2 1 62
2 1 2 1 1 64
3 1 2 1 1 36
1 2 2 1 1 28
2 1 2 1 1 54
1 1 1 1 1 66
1 1 1 9 1 50
2 1 2 1 1 66
1 2 2 1 1 20
2 2 2 1 1 27
1 1 2 1 1 64
3 1 1 7 2 59
2 1 1 1 2 32
3 1 1 1 1 44
3 1 1 1 1 62
1 2 1 1 1 55
1 2 2 1 2 38
2 2 2 1 1 21
1 1 1 1 1 27
1 1 2 8 1 46
2 2 2 7 2 31
1 1 1 1 1 65
2 2 2 2 1 55
3 1 2 7 2 55
2 2 1 2 1 41
2 1 1 1 1 52
1 1 1 1 1 44
1 1 1 7 2 76
1 1 2 1 1 49
1 1 1 1 1 61
1 1 1 1 1 57
1 1 1 1 1 72
2 1 1 1 1 71
1 2 1 1 1 60
1 2 1 1 1 71
2 2 1 1 1 34
1 1 1 1 1 57
1 2 2 6 1 82
2 1 1 2 1 61
2 2 2 1 1 25
1 2 1 2 1 33
3 2 1 4 1 35
1 1 2 1 1 58
2 2 2 1 1 44
1 1 2 1 1 53
1 1 1 1 1 40
1 1 1 1 1 43
1 1 1 1 1 60
1 1 1 1 1 82
1 1 1 1 1 60
1 2 2 2 1 46
1 2 2 1 2 22
1 1 1 1 1 73
1 1 1 1 1 88
3 1 2 1 1 56
1 1 1 1 1 54
3 2 2 1 3 30
1 1 1 1 1 66
2 1 1 1 1 47
2 1 1 1 1 78
2 1 1 2 1 74
1 1 2 1 2 46
3 2 2 2 1 39
1 1 2 1 1 56
3 1 2 6 1 46
1 2 2 1 1 40
1 1 1 1 1 68
2 1 2 1 1 49
1 1 2 1 1 82
