"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
3 2 1 1 1 21
2 1 1 1 1 71
1 2 1 1 1 28
2 1 2 1 1 69
1 1 2 1 1 58
2 1 1 1 1 36
1 1 1 1 1 60
1 1 1 3 1 51
1 1 2 1 1 69
1 1 2 1 1 60
3 1 1 1 1 53
1 2 1 1 1 25
2 1 2 1 1 52
3 1 2 1 1 32
1 1 1 1 1 79
1 1 2 1 1 44
2 1 2 1 1 64
1 2 1 1 1 33
3 1 2 1 1 38
1 1 1 1 1 78
1 1 2 1 1 64
3 1 1 1 2 45
2 2 2 2 1 35
1 1 1 1 1 78
1 1 2 1 1 77
1 1 2 1 1 61
1 1 2 1 1 56
2 2 2 2 1 45
1 1 1 1 1 66
3 2 1 1 1 38
1 1 2 1 1 57
1 1 1 1 1 83
1 2 2 2 3 30
2 1 2 1 1 47
2 1 1 3 1 71
3 1 1 1 1 43
1 1 1 1 1 54
2 1 2 1 2 50
2 1 1 1 1 58
3 1 1 1 1 33
1 2 1 8 1 43
3 1 2 1 1 36
1 1 1 1 1 52
1 1 1 1 1 71
3 1 2 1 1 48
1 1 2 1 1 58
3 1 2 1 2 31
1 2 2 1 1 84
1 1 1 1 1 37
1 1 1 1 1 72
1 1 1 1 1 52
1 1 1 1 1 52
1 1 2 1 1 43
1 1 2 1 1 58
1 1 1 1 1 58
1 1 1 1 1 38
1 1 1 1 1 76
2 1 1 1 1 36
1 2 2 1 2 59
1 1 1 1 1 65
1 1 2 1 1 68
1 1 1 1 1 80
2 1 2 2 1 41
2 2 1 1 1 29
1 1 2 1 1 56
1 1 1 1 1 75
3 1 1 1 1 43
3 1 1 1 1 41
1 1 1 1 1 74
2 2 1 7 1 45
2 2 1 1 1 42
3 1 2 1 1 44
2 1 2 1 1 30
1 1 1 1 1 76
1 1 2 1 1 52
1 1 2 1 1 31
1 1 1 1 1 68
2 2 2 1 1 37
1 2 2 2 1 24
1 1 2 1 2 53
1 1 2 1 1 53
1 1 1 1 1 65
1 1 1 1 1 79
2 2 1 1 1 44
1 1 2 1 1 57
1 1 1 1 1 69
1 2 2 1 1 66
3 1 1 1 1 40
1 1 1 1 1 62
1 1 2 1 1 30
1 1 1 1 1 61
1 1 2 1 1 69
1 1 2 1 1 53
1 2 1 1 1 46
1 1 1 1 1 57
1 1 1 1 1 63
1 2 2 1 1 28
3 1 2 1 1 63
2 2 1 1 1 26
1 2 1 2 1 36
2 1 2 1 1 59
2 1 1 1 1 55
1 1 2 1 5 36
2 2 2 2 1 35
1 1 1 1 1 60
1 2 2 1 1 47
2 2 1 7 2 31
1 2 1 1 1 82
1 1 1 1 1 66
1 2 1 1 1 25
2 1 1 1 1 46
1 1 2 6 1 63
1 1 2 1 5 31
1 1 1 1 1 86
1 2 2 1 1 56
3 1 1 6 1 39
2 1 1 1 1 51
1 2 2 1 1 31
1 1 1 1 1 52
1 1 1 1 1 75
2 2 2 2 1 39
3 1 1 1 2 47
2 1 1 1 1 44
1 1 2 1 1 59
1 1 1 1 1 48
2 1 2 2 1 77
3 1 1 2 1 38
2 2 2 1 1 23
2 1 1 1 1 58
1 1 1 1 1 65
2 1 2 1 1 51
1 1 1 1 1 65
1 1 2 1 1 59
1 1 2 1 1 48
1 2 1 1 1 56
1 1 1 1 1 70
1 1 1 1 1 81
1 1 1 1 1 62
1 1 1 1 1 66
2 1 1 1 1 60
3 1 2 1 1 57
1 1 1 1 1 53
1 1 2 1 1 54
2 1 1 1 1 74
1 1 1 1 1 53
2 1 1 1 1 51
1 1 1 1 1 63
1 2 2 1 1 42
1 1 2 1 1 42
3 1 2 1 1 44
3 1 1 1 1 55
1 1 1 1 1 65
2 1 1 1 1 30
1 1 1 1 1 68
1 1 1 1 1 55
1 1 2 1 1 55
1 1 1 1 1 64
1 1 1 1 1 63
1 1 1 1 1 69
1 1 1 1 1 63
1 1 2 1 1 72
1 1 1 8 1 54
1 2 2 1 1 28
1 1 2 1 1 64
1 1 1 6 1 51
1 1 1 1 1 72
2 1 2 1 1 55
3 2 2 1 1 41
3 1 2 1 1 31
3 1 1 1 1 45
3 1 1 2 1 53
1 1 1 1 1 62
3 2 1 1 5 32
3 1 1 1 1 53
1 2 1 2 1 27
3 1 1 1 1 55
1 1 1 1 1 67
1 2 2 1 1 83
2 1 2 1 1 55
3 1 1 1 1 38
1 2 1 1 1 22
1 1 1 1 1 80
2 1 2 2 1 34
1 1 1 1 1 66
3 1 1 1 1 46
1 1 1 1 1 37
3 2 2 2 1 34
1 1 1 1 1 56
1 2 1 1 2 88
3 1 1 6 1 42
1 1 2 1 1 26
1 1 1 1 1 68
1 1 1 1 1 58
1 2 1 1 1 20
1 1 2 1 1 73
2 1 1 1 1 47
1 2 2 2 1 26
3 1 2 1 1 42
1 1 1 1 1 72
3 1 2 1 1 48
1 1 1 1 1 43
3 1 1 1 1 63
1 1 1 1 1 71
1 1 1 1 1 48
3 2 2 2 1 22
2 1 1 1 1 60
1 2 2 1 1 40
1 1 2 2 1 63
1 1 1 1 1 68
1 2 1 7 1 35
1 1 1 1 1 65
1 1 1 1 1 69
1 2 2 1 1 28
1 1 1 1 1 71
1 1 2 1 1 74
1 2 1 3 2 25
1 1 1 1 1 86
2 1 2 1 1 49
1 1 2 1 1 49
2 2 2 1 1 61
2 1 1 7 3 50
1 1 1 1 1 56
1 1 2 1 1 95
1 1 1 1 1 62
1 1 1 1 1 74
2 1 2 2 1 48
1 1 2 1 1 59
1 1 2 1 1 63
1 2 2 6 1 32
1 1 1 1 1 80
1 1 1 1 1 85
2 1 1 1 1 47
2 1 2 1 5 56
3 1 1 6 1 40
1 1 2 2 1 44
3 2 2 1 1 23
3 1 2 6 1 45
1 1 1 1 1 62
1 1 2 1 1 48
3 1 1 4 1 63
1 1 1 1 1 52
3 1 1 1 1 62
1 1 1 1 3 72
3 1 1 1 1 66
1 1 1 1 1 82
1 1 1 1 1 71
1 1 2 1 1 85
2 1 1 1 1 65
3 1 1 1 1 29
1 2 1 1 1 49
2 2 1 1 1 49
1 2 2 1 1 23
1 1 1 1 1 78
1 1 1 2 1 46
1 1 1 1 5 75
1 1 1 1 1 59
3 1 2 1 1 54
3 1 1 6 1 43
1 1 1 1 1 37
3 1 1 1 1 41
1 1 1 2 1 62
2 2 2 1 1 28
3 1 1 1 1 48
3 1 2 1 1 51
3 1 2 1 1 41
1 1 1 1 1 88
2 1 2 2 1 75
1 1 2 2 1 67
1 1 2 1 1 29
1 2 1 7 5 39
3 1 1 1 1 41
3 2 1 1 1 57
2 2 2 1 1 23
1 2 1 7 5 59
2 2 1 4 1 56
1 1 2 1 1 54
1 1 2 1 2 56
2 1 1 1 1 32
1 1 2 1 1 57
3 1 1 1 1 46
1 1 2 1 1 54
1 1 2 2 1 86
2 1 1 1 1 47
2 1 2 1 1 47
1 1 1 1 1 59
1 1 2 1 1 57
1 1 1 1 1 94
1 1 2 8 1 66
1 2 2 1 1 21
3 1 2 8 1 51
1 1 2 1 1 75
2 1 1 1 1 61
1 2 1 1 1 28
1 1 1 1 1 59
2 2 2 1 1 34
1 1 1 7 3 39
2 2 1 1 2 40
1 2 2 1 1 39
1 1 2 1 1 69
1 1 1 7 2 83
2 1 2 1 1 30
1 2 1 1 1 58
3 1 1 2 1 51
1 1 1 1 1 67
1 2 1 1 1 23
2 1 1 1 1 28
1 2 2 1 1 26
3 1 1 1 1 56
1 1 1 1 1 64
1 2 2 2 1 24
1 1 1 1 1 64
1 1 2 1 1 58
3 1 2 1 1 46
1 1 1 1 1 85
1 2 1 1 1 59
1 1 1 1 1 32
3 1 1 1 1 63
3 1 1 1 1 53
1 1 2 1 1 35
