"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
15679 2 NA NA NA NA 2 1 1 1 NA 45
15679 3 NA NA 1 10 3 1 1 1 NA 45
15680 2 1 NA NA 78 NA 1 2 1 NA 70
15681 2 2 1 1 NA 2 1 1 1 NA 40
15681 3 1 1 NA 11 NA 1 1 1 NA 40
15681 4 2 1 1 8 NA 1 1 1 NA 40
15682 2 1 1 NA 81 NA NA 2 1 NA 81
15683 2 1 4 1 26 3 1 2 4 1 53
15683 3 NA 4 1 81 7 1 2 4 1 53
15684 2 1 NA 1 56 2 1 2 1 1 58
15685 2 NA 3 1 73 2 1 1 1 1 71
15685 3 1 NA 1 49 NA 1 1 1 1 71
15686 2 2 NA 5 8 3 2 NA 2 5 31
15686 3 2 1 NA 25 12 2 NA 2 5 31
15687 2 2 NA 1 21 3 NA 1 NA NA 52
15687 3 1 1 1 18 NA NA 1 NA NA 52
15688 2 2 1 1 NA 2 NA 1 1 1 52
15689 2 1 1 NA NA NA 1 2 1 NA 45
15689 3 NA NA 1 16 3 1 2 1 NA 45
15689 4 1 NA NA 9 3 1 2 1 NA 45
15690 2 NA 7 2 7 3 2 2 7 2 43
15690 3 NA NA 2 5 NA 2 2 7 2 43
15690 4 1 NA 2 45 NA 2 2 7 2 43
15691 2 1 1 1 NA 2 1 2 NA 1 51
15691 3 2 1 1 23 3 1 2 NA 1 51
15692 2 NA NA 1 NA 2 1 2 1 1 42
15693 2 1 NA NA NA NA 1 NA NA NA 77
15694 2 1 1 NA 65 2 1 NA 1 1 63
15695 2 2 1 1 NA 2 1 1 1 NA 62
15696 2 NA 7 NA NA 2 NA NA 7 3 31
15697 2 1 2 1 8 NA 2 2 2 1 28
15698 2 1 2 NA 52 12 NA 2 2 NA 50
15699 2 2 1 1 NA 2 1 NA 1 NA 56
15700 2 NA 1 NA 17 3 NA 2 NA 1 33
15700 3 NA NA 1 14 NA NA 2 NA 1 33
15700 4 NA 8 NA 11 3 NA 2 NA 1 33
15700 5 1 NA NA 10 3 NA 2 NA 1 33
15700 6 NA 8 2 5 NA NA 2 NA 1 33
15700 7 1 8 2 4 NA NA 2 NA 1 33
15700 8 1 7 NA NA 12 NA 2 NA 1 33
15701 2 2 1 NA NA 2 1 NA 1 1 48
15701 3 NA NA 1 16 3 1 NA 1 1 48
15701 4 1 1 NA 13 NA 1 NA 1 1 48
15702 2 NA 1 1 NA 2 1 2 1 1 57
15702 3 1 1 1 33 3 1 2 1 1 57
15703 2 NA 1 1 NA 2 1 1 NA 1 69
15704 2 NA 1 1 NA 2 1 1 NA 1 62
15705 2 2 4 1 NA NA 1 1 4 1 52
15705 3 2 4 1 14 3 1 1 4 1 52
15706 2 1 NA NA NA NA NA 1 1 1 44
15707 2 NA 2 NA 52 3 NA 2 2 NA 82
15708 2 2 NA NA NA NA 2 1 1 1 50
15708 3 NA 1 NA NA 3 2 1 1 1 50
15709 2 2 1 1 NA 2 2 1 1 NA 25
15709 3 2 1 NA 1 3 2 1 1 NA 25
15709 4 2 NA NA 27 6 2 1 1 NA 25
15710 2 1 NA 1 NA 2 1 2 1 NA 48
15710 3 NA 1 1 15 3 1 2 1 NA 48
15711 2 2 1 1 NA 2 1 NA 1 1 60
15711 3 NA 1 1 22 3 1 NA 1 1 60
15712 2 2 1 1 NA 12 2 NA 1 1 28
15713 2 1 1 1 41 NA 1 2 NA 1 36
15714 2 2 1 NA 49 NA NA 1 1 1 55
15714 3 2 NA 1 27 3 NA 1 1 1 55
15714 4 1 1 1 19 4 NA 1 1 1 55
15714 5 2 1 1 NA 4 NA 1 1 1 55
15714 6 2 1 1 NA 8 NA 1 1 1 55
15715 2 NA NA NA NA NA NA NA 2 NA 37
15716 2 1 1 1 NA 3 NA 2 1 1 49
15716 3 1 1 1 8 3 NA 2 1 1 49
15717 2 NA 1 1 26 2 1 1 1 1 26
15717 3 NA 1 1 2 3 1 1 1 1 26
15718 2 2 1 1 NA 2 NA 1 NA 1 33
15718 3 1 NA 1 5 NA NA 1 NA 1 33
15718 4 1 1 1 NA 3 NA 1 NA 1 33
15719 2 1 1 NA NA 3 NA 2 1 1 46
15719 3 2 1 1 10 NA NA 2 1 1 46
15720 2 2 6 1 69 NA 1 1 1 1 67
15721 2 2 1 1 20 NA NA 2 8 NA 46
15721 3 NA NA 1 19 3 NA 2 8 NA 46
15721 4 NA 1 1 15 3 NA 2 8 NA 46
15721 5 NA 1 1 13 3 NA 2 8 NA 46
15722 2 2 NA 1 NA 2 NA NA 1 NA 70
15723 2 2 1 1 NA 2 1 1 NA 1 81
15724 2 NA NA 1 NA 2 1 1 NA NA 62
15724 3 2 NA 1 21 3 1 1 NA NA 62
15725 2 2 NA NA 61 NA NA NA 1 1 65
15726 2 2 1 1 NA 2 1 1 1 1 65
15726 3 1 NA 1 28 3 1 1 1 1 65
15726 4 2 1 NA 24 3 1 1 1 1 65
15727 2 1 6 1 17 NA 2 1 NA 1 28
15727 3 1 6 NA 24 11 2 1 NA 1 28
15727 4 1 2 1 11 NA 2 1 NA 1 28
15727 5 2 2 1 6 11 2 1 NA 1 28
15727 6 NA 2 NA 4 11 2 1 NA 1 28
15727 7 1 2 NA 2 11 2 1 NA 1 28
15728 2 2 4 1 NA NA 1 1 NA NA 38
15729 2 1 2 1 20 3 NA 2 NA NA 47
15730 2 2 NA 1 NA 2 1 1 1 NA 65
15731 2 1 6 1 54 3 1 2 6 1 75
15732 2 NA NA 1 NA 3 1 2 NA NA 60
15733 2 NA NA NA 24 2 2 NA 1 1 25
15734 2 NA 1 NA NA NA NA NA NA 1 66
15735 2 1 1 1 62 2 NA NA NA NA 60
15735 3 NA 1 1 35 3 NA NA NA NA 60
15735 4 2 1 1 NA 8 NA NA NA NA 60
15735 5 NA 1 1 7 NA NA NA NA NA 60
15736 2 2 NA 1 NA 2 1 1 1 1 56
15737 2 2 1 1 50 NA NA 1 1 NA 56
15738 2 2 8 1 5 NA 1 NA 1 1 30
15739 2 NA NA 1 21 6 1 NA 2 1 27
15740 2 NA 1 1 NA 2 NA 1 1 1 69
15740 3 1 NA 1 37 3 NA 1 1 1 69
15741 2 2 NA 1 NA 2 NA 1 1 1 69
15742 2 NA 1 1 94 2 1 1 1 1 94
15742 3 1 1 1 67 3 1 1 1 1 94
15743 2 2 1 1 NA 2 NA NA 1 1 67
15744 2 NA NA 1 NA 2 2 1 1 1 60
15744 3 1 NA NA 12 8 2 1 1 1 60
15744 4 1 NA 1 NA 8 2 1 1 1 60
15744 5 1 NA NA 21 NA 2 1 1 1 60
15745 2 2 1 NA 52 2 NA NA 1 1 54
15745 3 NA NA 1 NA 3 NA NA 1 1 54
15746 2 2 NA 5 5 3 NA NA 1 5 27
15746 3 2 1 5 NA 12 NA NA 1 5 27
15747 2 2 NA 1 NA 2 1 1 1 NA 57
15747 3 2 NA 1 11 NA 1 1 1 NA 57
15748 2 NA 1 2 NA 2 1 1 NA NA 41
15748 3 1 NA 2 19 NA 1 1 NA NA 41
15748 4 2 1 2 22 5 1 1 NA NA 41
15748 5 NA 1 NA 3 NA 1 1 NA NA 41
15749 2 2 NA 1 NA 2 NA NA 1 1 66
15750 2 NA 7 2 36 NA 1 2 NA 5 35
15750 3 2 1 5 13 NA 1 2 NA 5 35
15750 4 2 1 NA 9 3 1 2 NA 5 35
15751 2 1 2 NA 28 NA NA NA NA NA 31
15751 3 NA 7 1 NA 3 NA NA NA NA 31
15751 4 2 NA 1 NA 7 NA NA NA NA 31
15752 2 1 NA NA 58 12 1 2 NA 1 59
15753 2 1 NA NA 53 11 1 2 NA NA 82
15754 2 2 NA 1 NA NA 1 1 1 1 78
15755 2 2 NA 1 17 3 1 2 1 1 43
15755 3 2 1 1 16 NA 1 2 1 1 43
15755 4 NA 1 NA 10 3 1 2 1 1 43
15756 2 2 1 NA NA NA 1 1 1 1 85
15757 2 1 3 1 23 3 NA NA 1 1 53
15758 2 1 1 1 NA 3 2 NA 1 1 60
15759 2 2 1 1 73 NA NA 1 1 1 75
15760 2 2 NA 1 37 NA NA NA NA 1 40
15760 3 1 NA 1 18 NA NA NA NA 1 40
15760 4 2 NA 1 16 NA NA NA NA 1 40
15760 5 2 1 1 12 5 NA NA NA 1 40
15761 2 1 2 1 8 3 2 2 2 1 31
15762 2 NA 1 1 NA 2 1 1 1 NA 52
15763 2 NA 1 1 37 NA 1 2 1 NA 35
15763 3 1 NA 1 6 NA 1 2 1 NA 35
15763 4 1 1 1 NA 3 1 2 1 NA 35
15764 2 1 1 NA NA NA NA NA 1 1 44
15764 3 2 1 1 20 NA NA NA 1 1 44
15764 4 NA 1 1 17 3 NA NA 1 1 44
15765 2 1 3 5 NA 12 NA 1 1 NA 28
15765 3 1 1 5 NA 12 NA 1 1 NA 28
15765 4 NA 3 5 25 12 NA 1 1 NA 28
15766 2 1 1 NA 46 2 NA 2 1 2 50
15766 3 2 1 2 14 3 NA 2 1 2 50
15767 2 1 1 1 49 2 1 NA NA 1 49
15767 3 1 1 NA 10 NA 1 NA NA 1 49
15768 2 2 1 NA NA 2 2 NA 1 1 41
15768 3 2 1 1 17 NA 2 NA 1 1 41
15768 4 NA 1 1 6 3 2 NA 1 1 41
15769 2 NA 1 1 NA 2 1 1 1 1 54
15769 3 NA 1 NA 25 NA 1 1 1 1 54
15769 4 2 NA NA 23 3 1 1 1 1 54
15770 2 1 1 NA 16 3 1 2 1 NA 52
15770 3 1 1 3 13 3 1 2 1 NA 52
15771 2 2 1 NA NA 2 NA 1 1 1 57
15771 3 1 1 1 NA NA NA 1 1 1 57
15772 2 1 NA NA NA NA 1 2 NA NA 38
15772 3 2 1 NA 21 3 1 2 NA NA 38
15772 4 2 1 2 17 NA 1 2 NA NA 38
15772 5 1 1 2 11 NA 1 2 NA NA 38
15773 2 1 1 1 NA 2 1 2 NA 1 68
15774 2 1 1 NA NA 2 2 2 1 1 57
15774 3 2 1 NA 26 NA 2 2 1 1 57
15774 4 2 1 NA 26 3 2 2 1 1 57
15775 2 NA 1 1 40 2 1 1 NA 1 53
15776 2 1 2 1 NA NA 1 1 NA 1 60
15777 2 2 NA 1 NA 2 1 1 1 NA 66
15777 3 2 1 1 28 3 1 1 1 NA 66
15778 2 2 2 1 NA 2 1 1 2 1 55
15778 3 2 2 1 27 3 1 1 2 1 55
15779 2 1 1 1 NA 2 2 2 1 1 43
15779 3 NA NA 1 19 3 2 2 1 1 43
15779 4 2 NA 1 18 NA 2 2 1 1 43
15780 2 NA 1 NA NA NA NA 2 1 1 71
15781 2 2 1 1 26 NA 1 2 1 1 42
15782 2 2 1 NA NA 2 2 1 1 1 35
15782 3 NA 1 NA 15 3 2 1 1 1 35
15782 4 2 1 1 12 NA 2 1 1 1 35
15783 2 1 2 NA 78 2 NA 2 2 1 78
15784 2 1 5 1 51 2 1 NA 1 NA 39
15784 3 NA 8 1 4 NA 1 NA 1 NA 39
15784 4 NA 8 NA 2 3 1 NA 1 NA 39
15785 2 NA 1 NA 29 NA 1 1 NA 1 56
15786 2 2 NA NA NA 2 NA NA 1 1 88
15787 2 NA 1 5 NA 12 2 1 1 5 64
15787 3 2 1 5 9 13 2 1 1 5 64
15788 2 NA NA 1 NA 2 1 2 1 1 48
15789 2 1 1 1 NA 3 NA 1 1 1 71
15790 2 2 1 1 48 NA 1 NA 1 1 47
15790 3 1 1 1 19 3 1 NA 1 1 47
15791 2 2 2 1 NA 2 1 NA 2 1 61
15791 3 1 NA 1 47 3 1 NA 2 1 61
15792 2 NA 1 NA NA NA NA 1 1 1 33
15792 3 1 1 1 1 NA NA 1 1 1 33
15793 2 2 1 1 NA 2 NA 1 7 2 40
15793 3 2 7 2 16 3 NA 1 7 2 40
15793 4 2 NA 2 13 3 NA 1 7 2 40
15793 5 1 NA 2 9 NA NA 1 7 2 40
15794 2 2 1 NA NA 2 1 1 NA NA 73
15795 2 NA 1 1 NA NA NA 2 NA 1 58
15795 3 2 1 1 16 NA NA 2 NA 1 58
15796 2 2 NA NA 33 NA NA NA NA NA 33
15796 3 2 7 2 9 NA NA NA NA NA 33
15796 4 2 NA 2 5 3 NA NA NA NA 33
15797 2 1 NA 1 59 2 1 2 1 NA 48
15797 3 2 NA 1 18 NA 1 2 1 NA 48
15797 4 NA 1 1 6 4 1 2 1 NA 48
15798 2 1 NA NA NA 2 1 2 1 NA 55
15799 2 1 1 1 NA 2 NA NA 1 1 74
15799 3 NA 1 1 46 NA NA NA 1 1 74
15800 2 2 1 1 61 2 NA 1 NA 1 61
15801 2 1 1 1 NA 12 1 NA 1 1 42
15802 2 2 1 1 NA NA NA 1 1 1 40
15802 3 2 1 1 13 NA NA 1 1 1 40
15802 4 2 1 1 NA 3 NA 1 1 1 40
15802 5 1 1 NA 1 3 NA 1 1 1 40
15803 2 2 1 NA NA 2 1 1 1 1 44
15803 3 NA NA 1 14 NA 1 1 1 1 44
15803 4 1 1 1 11 3 1 1 1 1 44
15804 2 2 1 1 NA NA NA 1 NA 1 59
15804 3 NA 1 1 20 NA NA 1 NA 1 59
15804 4 2 NA 1 18 NA NA 1 NA 1 59
15804 5 1 NA 1 15 3 NA 1 NA 1 59
15805 2 1 NA NA NA 2 1 2 1 NA 55
15806 2 1 NA 2 NA NA 2 NA 1 2 31
15806 3 1 1 NA 10 NA 2 NA 1 2 31
15806 4 2 NA 2 9 3 2 NA 1 2 31
15806 5 2 1 2 NA 3 2 NA 1 2 31
15806 6 1 1 NA NA 12 2 NA 1 2 31
15807 2 NA NA NA 45 2 1 1 1 1 45
15807 3 2 1 NA 18 3 1 1 1 1 45
15807 4 1 1 1 15 3 1 1 1 1 45
15808 2 1 1 2 NA 2 1 2 1 2 34
15808 3 NA 1 2 11 NA 1 2 1 2 34
15808 4 NA NA 2 1 3 1 2 1 2 34
15809 2 NA NA 1 61 3 1 NA 4 1 86
15810 2 2 NA NA NA 2 NA 1 8 NA 64
15810 3 2 8 2 40 NA NA 1 8 NA 64
15810 4 NA NA NA 6 8 NA 1 8 NA 64
15810 5 NA 1 NA 3 8 NA 1 8 NA 64
15810 6 1 NA NA 37 10 NA 1 8 NA 64
15811 2 1 1 1 36 NA NA 1 NA NA 57
15812 2 1 1 NA NA 2 1 NA 1 1 64
15813 2 NA NA 1 NA NA NA 1 1 NA 51
15813 3 2 NA 1 15 NA NA 1 1 NA 51
15814 2 1 1 1 NA NA 1 2 1 1 68
15815 2 2 1 1 23 2 NA 1 1 NA 23
15816 2 NA 1 2 15 3 2 1 NA 2 40
15816 3 1 1 2 7 NA 2 1 NA 2 40
15816 4 1 NA 2 18 4 2 1 NA 2 40
15816 5 NA NA NA NA 12 2 1 NA 2 40
15817 2 2 6 1 NA 2 1 1 NA NA 31
15817 3 1 6 1 29 NA 1 1 NA NA 31
15818 2 NA NA 1 79 2 1 NA 2 1 65
15818 3 2 2 1 17 8 1 NA 2 1 65
15819 2 1 NA 1 30 12 2 2 8 1 31
15820 2 1 1 1 66 2 1 2 1 1 62
15821 2 1 NA 1 NA NA 1 1 6 1 42
15821 3 2 NA 1 18 3 1 1 6 1 42
15821 4 NA 6 1 NA 3 1 1 6 1 42
15821 5 NA NA 1 NA 3 1 1 6 1 42
15822 2 1 1 1 NA 2 2 NA 1 1 60
15823 2 2 1 1 NA NA 2 1 NA 1 32
15824 2 NA NA 2 29 2 NA 1 NA 2 29
15824 3 1 1 2 6 3 NA 1 NA 2 29
15824 4 1 NA 2 3 NA NA 1 NA 2 29
15824 5 1 1 NA 2 NA NA 1 NA 2 29
15824 6 NA 1 NA 18 11 NA 1 NA 2 29
15825 2 NA 1 1 21 3 2 2 NA 1 39
15825 3 1 1 1 18 3 2 2 NA 1 39
15825 4 NA 1 1 NA NA 2 2 NA 1 39
15826 2 NA NA 1 54 2 1 1 1 NA 55
15826 3 2 NA 1 NA 5 1 1 1 NA 55
15826 4 NA NA 1 83 NA 1 1 1 NA 55
15827 2 2 1 1 43 NA NA 1 NA 1 43
15827 3 2 NA NA 12 3 NA 1 NA 1 43
15827 4 NA 1 1 10 3 NA 1 NA 1 43
15827 5 NA 1 NA 8 3 NA 1 NA 1 43
15827 6 2 1 1 5 NA NA 1 NA 1 43
15828 2 2 NA 1 NA 2 1 1 NA 1 72
15828 3 2 NA 1 NA 3 1 1 NA 1 72
15828 4 2 1 1 37 3 1 1 NA 1 72
15828 5 2 1 NA NA 3 1 1 NA 1 72
15829 2 2 6 1 NA 2 1 NA 1 1 60
15830 2 1 NA 1 20 NA 1 NA 9 1 49
15831 2 1 NA 1 NA 2 NA 2 1 1 52
15832 2 NA 1 2 NA NA NA 2 NA 2 38
15832 3 1 1 2 NA 3 NA 2 NA 2 38
15832 4 NA NA 2 13 3 NA 2 NA 2 38
15832 5 2 NA 2 NA NA NA 2 NA 2 38
15832 6 1 NA 2 4 3 NA 2 NA 2 38
15833 2 2 NA 1 66 7 2 2 1 NA 41
15834 2 2 1 1 NA 2 1 1 NA 1 50
15834 3 NA 1 1 NA 3 1 1 NA 1 50
15834 4 1 1 1 16 3 1 1 NA 1 50
15835 2 1 1 1 55 3 1 2 NA 1 82
15836 2 2 1 NA 20 4 NA NA 1 1 59
15836 3 NA 1 1 18 4 NA NA 1 1 59
15837 2 NA NA NA 52 2 1 NA NA NA 52
15838 2 2 1 NA 67 2 1 NA 1 1 75
15839 2 2 7 2 58 2 2 NA 7 NA 58
15840 2 1 1 2 NA 3 1 2 1 2 38
15840 3 1 1 2 NA 3 1 2 1 2 38
15841 2 1 1 1 NA NA 1 2 NA 1 41
15841 3 1 NA 1 59 7 1 2 NA 1 41
15842 2 1 NA 1 28 12 NA NA 1 1 28
15842 3 NA 1 NA 27 12 NA NA 1 1 28
15843 2 2 1 1 62 2 NA 1 NA NA 63
15844 2 2 1 NA 37 12 2 NA 1 1 37
15845 2 2 1 1 NA 2 2 NA 1 1 61
15846 2 NA NA 1 NA 2 1 1 1 1 59
15847 2 2 1 1 56 2 NA 1 1 NA 63
15847 3 1 1 1 18 3 NA 1 1 NA 63
15848 2 NA 1 1 66 2 NA 2 1 NA 51
15849 2 1 2 NA 72 6 1 2 2 NA 55
15850 2 NA 1 1 NA 8 1 NA NA 1 73
15851 2 1 1 NA 65 2 1 2 NA NA 63
15852 2 2 1 1 50 2 NA 1 NA 1 53
15852 3 1 NA NA 20 NA NA 1 NA 1 53
15853 2 1 NA 1 35 NA NA 2 1 1 27
15853 3 NA NA NA NA NA NA 2 1 1 27
15853 4 2 1 1 23 6 NA 2 1 1 27
15854 2 1 1 1 NA 2 1 NA 1 1 42
15854 3 2 NA 1 12 3 1 NA 1 1 42
15855 2 1 1 1 62 2 1 2 1 1 63
15856 2 1 1 1 79 2 2 2 1 1 78
15857 2 2 2 1 22 3 NA 2 NA 1 42
15857 3 2 2 1 3 NA NA 2 NA 1 42
15857 4 NA 2 1 1 NA NA 2 NA 1 42
15857 5 1 2 NA NA NA NA 2 NA 1 42
15857 6 1 NA 1 26 13 NA 2 NA 1 42
15858 2 2 NA NA 53 2 1 1 1 1 61
15859 2 NA 1 1 NA 2 1 NA 1 1 67
15860 2 NA NA NA NA 12 2 1 2 1 68
15860 3 2 NA NA NA 12 2 1 2 1 68
15860 4 1 NA NA NA 12 2 1 2 1 68
15861 2 1 NA NA 63 12 2 2 NA 1 70
15862 2 1 1 1 NA 12 2 NA NA 1 24
15863 2 2 1 1 60 2 NA 1 1 1 60
15864 2 NA NA 1 44 2 1 NA NA NA 49
15864 3 1 1 NA 17 3 1 NA NA NA 49
15864 4 NA NA 1 15 3 1 NA NA NA 49
15865 2 2 NA 1 32 2 1 1 1 1 36
15865 3 1 1 1 7 3 1 1 1 1 36
15865 4 NA 1 1 NA NA 1 1 1 1 36
15865 5 1 1 NA 2 NA 1 1 1 1 36
15866 2 2 1 1 NA 2 1 1 1 1 56
15866 3 2 1 1 89 NA 1 1 1 1 56
15867 2 2 1 1 NA 2 1 NA 1 NA 84
15868 2 1 1 1 23 6 2 1 1 1 27
15869 2 2 NA NA 71 2 1 NA NA 1 72
15870 2 2 NA 1 NA 2 2 1 NA 1 34
15870 3 1 1 1 2 3 2 1 NA 1 34
15871 2 1 NA 1 48 2 NA NA 6 1 49
15871 3 2 6 1 15 NA NA NA 6 1 49
15871 4 2 6 1 11 NA NA NA 6 1 49
15871 5 NA NA NA 62 6 NA NA 6 1 49
15872 2 2 1 1 NA 2 2 NA 1 1 65
15872 3 1 1 1 22 3 2 NA 1 1 65
15873 2 2 1 NA 67 2 NA 1 NA NA 66
15874 2 2 NA NA 62 2 1 1 1 1 63
15874 3 1 NA 1 NA 3 1 1 1 1 63
15875 2 1 1 1 NA 2 1 NA 1 1 66
15876 2 2 NA 2 NA NA 1 1 1 2 44
15876 3 1 NA 2 21 NA 1 1 1 2 44
15876 4 NA 1 2 10 3 1 1 1 2 44
15877 2 NA 1 1 NA 3 2 2 1 NA 23
15877 3 1 1 1 3 3 2 2 1 NA 23
15878 2 NA 1 NA 44 NA 1 2 1 1 40
15878 3 NA 1 1 17 3 1 2 1 1 40
15878 4 NA 1 NA 15 3 1 2 1 1 40
15878 5 NA 1 1 NA 9 1 2 1 1 40
15879 2 2 1 NA 3 3 NA 2 1 NA 40
15880 2 2 1 NA NA 2 NA 1 1 1 44
15880 3 2 1 1 18 NA NA 1 1 1 44
15880 4 1 1 1 14 3 NA 1 1 1 44
15880 5 1 NA NA 11 3 NA 1 1 1 44
15881 2 1 1 1 NA 2 NA NA NA 1 33
15881 3 1 NA 1 7 NA NA NA NA 1 33
15881 4 1 1 1 NA 7 NA NA NA 1 33
15881 5 2 NA NA 59 7 NA NA NA 1 33
15882 2 2 1 1 NA 2 NA 1 1 1 31
15882 3 1 NA NA 5 NA NA 1 1 1 31
15883 2 2 NA 2 14 3 2 1 NA 2 36
15883 3 2 NA 2 10 3 2 1 NA 2 36
15883 4 NA 7 2 34 12 2 1 NA 2 36
15884 2 NA 2 NA NA NA NA 1 2 1 69
15884 3 1 2 1 58 6 NA 1 2 1 69
15885 2 2 NA NA NA 2 NA 1 1 1 41
15885 3 1 NA 1 1 NA NA 1 1 1 41
15886 2 1 NA 2 30 12 NA 2 1 1 30
15887 2 1 NA 1 70 2 NA 2 NA NA 65
15888 2 2 1 NA NA 2 1 1 1 1 68
15889 2 NA NA 1 48 2 1 NA 1 1 50
15889 3 2 1 NA 11 3 1 NA 1 1 50
15889 4 1 1 1 9 NA 1 NA 1 1 50
15890 2 2 1 1 51 2 NA 1 1 1 52
15890 3 NA 1 1 24 NA NA 1 1 1 52
15890 4 1 NA NA 17 3 NA 1 1 1 52
15891 2 2 2 1 NA 2 1 NA NA NA 70
15892 2 NA 1 1 NA 2 1 NA NA NA 63
15892 3 1 1 1 26 NA 1 NA NA NA 63
15893 2 1 NA 1 NA NA NA 2 1 NA 53
15893 3 2 1 1 17 4 NA 2 1 NA 53
15893 4 2 1 1 12 4 NA 2 1 NA 53
15894 2 2 5 NA NA 2 2 1 NA NA 65
15895 2 2 1 NA NA 2 NA 1 NA 1 73
15895 3 2 1 1 17 3 NA 1 NA 1 73
15895 4 1 1 1 14 3 NA 1 NA 1 73
15895 5 NA 1 1 9 NA NA 1 NA 1 73
15895 6 1 1 NA NA 9 NA 1 NA 1 73
15896 2 NA 1 NA NA 2 1 NA 1 1 41
15896 3 2 NA NA NA 3 1 NA 1 1 41
15896 4 NA NA NA 9 3 1 NA 1 1 41
15897 2 NA NA 2 NA 2 1 2 1 NA 47
15897 3 2 1 2 26 3 1 2 1 NA 47
15897 4 2 1 2 20 NA 1 2 1 NA 47
15898 2 1 2 1 18 NA 2 NA 2 1 51
15899 2 1 2 NA NA NA 1 NA 2 NA 65
15899 3 NA 2 1 NA NA 1 NA 2 NA 65
15900 2 2 1 1 81 2 1 1 1 1 82
15901 2 2 1 2 45 2 NA 1 1 NA 45
15901 3 NA 1 2 NA 3 NA 1 1 NA 45
15901 4 NA 1 2 24 5 NA 1 1 NA 45
15901 5 NA NA NA 17 5 NA 1 1 NA 45
15902 2 2 9 NA NA 2 2 1 1 2 40
15902 3 2 NA 2 6 3 2 1 1 2 40
15903 2 1 1 1 NA 3 2 2 1 1 72
15904 2 2 2 1 2 3 NA NA 2 1 26
15904 3 1 2 1 NA 13 NA NA 2 1 26
15905 2 NA 6 1 NA 2 1 2 NA 1 45
15905 3 1 6 NA NA NA 1 2 NA 1 45
15906 2 2 1 1 NA NA NA 2 NA NA 33
15906 3 2 1 1 3 NA NA 2 NA NA 33
15907 2 NA 2 1 18 NA 1 2 2 NA 38
15907 3 NA NA 1 NA 3 1 2 2 NA 38
15908 2 1 1 1 69 2 NA 2 NA NA 67
15909 2 2 1 NA NA 2 1 1 1 NA 60
15910 2 2 1 NA NA 2 NA 1 1 1 54
15910 3 1 1 1 NA NA NA 1 1 1 54
15911 2 NA 1 1 NA 2 1 1 1 1 77
15912 2 2 1 1 23 12 NA 1 1 1 28
15913 2 1 2 1 NA NA NA 1 1 1 51
15913 3 NA 2 NA 9 NA NA 1 1 1 51
15913 4 NA 2 1 7 NA NA 1 1 1 51
15913 5 2 NA 1 NA NA NA 1 1 1 51
15913 6 2 1 NA 31 11 NA 1 1 1 51
15914 2 1 1 2 17 NA 2 1 NA 2 47
15914 3 NA NA 2 6 3 2 1 NA 2 47
15915 2 1 1 NA NA 2 1 NA NA 1 50
15915 3 2 NA 1 14 3 1 NA NA 1 50
15916 2 1 2 1 NA 2 1 2 2 1 46
15916 3 1 2 1 16 3 1 2 2 1 46
15917 2 NA 1 1 NA 2 1 NA 1 NA 46
15917 3 2 1 1 17 3 1 NA 1 NA 46
15917 4 2 NA 1 15 NA 1 NA 1 NA 46
15918 2 NA 1 NA 34 2 2 2 1 2 33
15918 3 1 1 NA 10 NA 2 2 1 2 33
15918 4 2 NA NA 8 3 2 2 1 2 33
15919 2 1 1 1 NA 2 NA 2 1 1 42
15920 2 2 1 1 50 NA 1 1 1 1 55
15920 3 NA 1 NA 16 5 1 1 1 1 55
15921 2 2 NA 1 38 2 1 1 1 1 47
15921 3 1 NA 1 6 NA 1 1 1 1 47
15921 4 1 1 1 NA 3 1 1 1 1 47
15922 2 1 NA 1 NA 2 1 2 1 NA 63
15923 2 2 1 1 NA 2 NA 1 NA 1 60
15924 2 2 1 1 NA NA 1 1 1 NA 31
15924 3 2 NA 1 5 3 1 1 1 NA 31
15924 4 NA 1 1 2 3 1 1 1 NA 31
15925 2 1 1 NA NA 2 1 NA 1 1 66
15926 2 NA NA NA NA 2 NA 1 1 NA 55
15927 2 1 1 1 81 2 1 NA 1 NA 77
15928 2 1 1 NA NA 2 1 2 6 1 31
15929 2 1 1 NA 66 2 1 NA NA 1 64
15929 3 NA 1 1 34 3 1 NA NA 1 64
15929 4 NA 1 1 13 8 1 NA NA 1 64
15929 5 2 NA 1 9 8 1 NA NA 1 64
15930 2 NA 1 1 41 2 1 2 NA 1 38
15930 3 2 1 1 18 3 1 2 NA 1 38
15930 4 NA NA 1 NA 3 1 2 NA 1 38
15930 5 NA NA NA 14 6 1 2 NA 1 38
15931 2 1 NA NA NA 13 2 NA 1 1 33
15931 3 1 1 NA 27 13 2 NA 1 1 33
15932 2 2 1 NA 86 2 1 1 1 NA 86
15933 2 NA 1 1 NA 2 1 1 1 1 38
15934 2 2 1 NA 62 2 NA NA 1 1 63
15935 2 2 NA 1 NA 2 1 NA 1 1 55
15935 3 2 1 1 25 NA 1 NA 1 1 55
15936 2 2 1 1 NA 3 NA NA NA NA 79
15937 2 1 2 1 15 3 2 NA NA NA 33
15937 3 1 NA 1 13 3 2 NA NA NA 33
15937 4 2 NA 1 9 3 2 NA NA NA 33
15937 5 2 2 1 NA NA 2 NA NA NA 33
15938 2 NA NA 1 NA 2 1 2 1 1 52
