"Gender" "Race" "Hisp" "Age" "Relate"
NA 1 1 NA NA
2 1 1 NA 2
1 NA 1 43 2
2 2 NA 1 NA
2 NA 1 NA 2
2 NA 1 29 2
NA 1 NA NA NA
2 NA 1 59 NA
NA 6 1 71 6
2 1 1 NA 2
2 NA 1 32 2
1 NA 1 2 NA
1 2 NA NA 2
NA 2 1 21 NA
2 NA 1 38 2
1 6 1 10 NA
NA 1 1 42 2
1 1 1 14 NA
NA 1 1 44 2
NA NA 1 NA NA
NA 1 NA 13 5
2 NA 1 57 2
NA 1 1 NA 12
2 1 1 77 2
NA 8 NA 10 4
2 1 1 5 8
2 1 1 49 NA
1 NA 1 56 2
NA 2 1 56 NA
1 1 NA NA 2
NA 1 NA 34 12
2 NA NA NA 2
NA NA 1 NA NA
NA NA 1 NA 2
1 1 NA NA 2
NA 1 1 NA 2
1 1 1 17 NA
2 1 NA 61 2
NA 1 1 43 3
1 1 1 13 8
NA 1 1 72 2
2 1 NA 33 2
2 1 1 NA 3
1 1 1 NA 2
2 1 1 NA 2
2 1 1 13 3
2 1 NA 50 2
1 1 NA NA 3
1 1 NA 11 3
NA 1 1 51 11
2 1 NA NA 2
1 1 1 19 NA
2 NA 2 23 3
1 1 NA NA 2
1 1 1 16 NA
NA NA 1 NA 2
NA 1 1 17 3
NA NA 1 16 3
1 1 1 53 2
1 NA NA 6 3
1 NA 1 61 12
1 1 1 35 2
2 1 1 NA 2
2 NA 1 NA 2
2 1 1 11 3
2 1 NA 9 3
1 1 1 NA 2
NA NA 1 54 2
2 1 NA NA NA
1 1 NA NA NA
2 2 1 19 3
2 1 NA NA NA
NA 1 1 15 NA
1 1 1 12 3
NA NA 1 4 3
1 2 NA 3 NA
2 NA 1 NA 2
2 NA 2 33 2
NA NA 2 NA 3
NA NA 2 1 3
NA 1 1 NA 2
2 1 NA 39 2
2 1 1 8 NA
NA NA 1 14 NA
NA 1 1 NA 2
1 NA NA 1 3
1 NA 1 34 5
NA 2 1 42 12
NA 1 1 NA 2
2 1 NA NA 3
NA NA NA NA 7
2 1 1 NA NA
1 NA NA 50 3
1 1 1 NA 12
1 1 1 54 NA
NA 2 1 NA NA
1 2 1 5 3
1 2 1 NA 3
NA NA 1 44 2
NA 2 1 14 5
NA 8 1 22 12
2 NA NA 66 2
1 1 1 41 NA
NA 7 5 61 7
NA 7 5 56 7
2 1 1 50 NA
2 NA 1 7 3
2 1 NA NA 2
2 NA 4 NA NA
NA 1 1 NA 2
2 NA 1 NA 3
NA NA 1 7 NA
2 1 1 35 NA
2 NA NA 3 NA
NA NA 1 35 NA
2 2 1 24 3
NA NA NA 18 3
2 2 1 14 NA
NA 1 NA NA NA
NA 1 NA NA 2
1 1 NA 3 3
NA 2 1 NA NA
1 2 NA 34 6
NA 1 NA NA NA
2 NA 1 NA 2
2 1 1 NA NA
2 NA 1 36 2
2 NA NA NA 12
2 NA 1 68 2
2 1 1 NA 2
1 1 1 NA 2
NA NA 1 25 NA
2 NA 1 6 3
NA 1 NA NA 3
NA 1 1 33 2
1 1 1 NA 3
1 7 2 21 3
2 NA NA 20 3
2 1 1 NA NA
2 NA 1 62 2
1 NA 1 NA 8
1 2 1 NA 10
NA 1 1 13 NA
NA 1 NA NA 12
NA 1 1 NA 12
1 1 1 NA 12
NA 1 NA 22 12
2 1 1 71 NA
1 1 1 45 3
NA 1 1 29 NA
1 NA 1 47 3
1 1 1 45 NA
1 1 1 31 3
2 NA 1 NA NA
2 1 1 2 3
2 NA NA 52 2
2 1 1 55 2
1 1 NA 79 NA
NA NA 1 NA 12
2 NA 1 NA 2
2 1 NA 18 NA
1 1 NA 14 NA
2 1 NA NA 2
NA NA 1 28 3
NA 1 1 26 3
NA 1 NA NA 2
NA NA NA 4 NA
NA 1 1 NA 3
2 1 1 NA NA
1 NA 1 14 3
2 1 1 NA 12
1 1 NA 16 12
2 NA 1 NA 2
NA 1 1 39 2
2 1 NA 8 NA
2 1 1 6 3
2 1 1 78 NA
2 1 1 NA 12
NA 1 2 NA 2
NA 1 2 20 3
1 1 NA NA NA
NA 2 1 9 3
2 2 1 5 NA
NA 1 1 NA 2
NA 1 NA 79 NA
NA 1 1 NA NA
NA 1 NA 62 2
NA NA 1 25 NA
1 NA 1 22 3
2 1 1 68 NA
2 1 NA 37 NA
NA NA NA NA NA
2 1 1 15 NA
1 1 NA 53 12
2 1 1 75 NA
NA 2 3 2 NA
NA NA 1 NA 2
2 1 NA 6 3
NA 3 1 NA NA
2 3 1 17 4
NA NA NA NA 2
2 1 1 17 3
NA 1 NA 14 3
1 NA 1 61 6
NA NA 2 60 NA
NA NA 2 15 NA
2 1 3 NA 2
1 NA 3 24 3
2 NA 1 NA NA
NA 1 NA 8 NA
1 NA 1 3 3
2 1 1 NA 2
1 NA NA NA NA
1 NA 1 11 NA
1 1 NA 9 NA
2 1 NA 52 2
NA 1 NA NA NA
NA 1 NA 48 NA
2 NA 1 20 NA
2 1 1 NA NA
1 1 1 58 2
1 NA 2 41 2
2 1 NA 35 6
2 NA 2 33 6
2 1 1 79 NA
2 1 NA NA 12
2 1 NA 46 2
NA NA 1 NA 2
NA 1 NA NA 2
1 NA 1 NA NA
1 NA NA NA 2
NA 1 NA NA 2
2 1 1 48 2
NA NA NA NA 2
NA 1 1 NA NA
NA NA 1 NA 13
1 1 NA NA 12
2 1 1 NA 2
NA 1 NA NA 2
2 1 1 79 NA
NA NA 1 41 6
2 2 1 11 11
2 1 1 31 2
NA 1 1 1 NA
1 1 1 NA 2
2 1 1 75 2
2 1 1 NA 2
NA 1 1 NA 3
2 NA 1 14 NA
2 NA 1 38 2
1 NA 1 NA 3
1 1 NA NA 3
NA NA 1 70 2
2 NA 1 42 2
1 NA 1 20 3
2 NA NA 37 2
NA 1 1 14 NA
NA 1 NA NA 2
2 1 1 17 3
NA NA 1 NA NA
NA 1 NA 6 NA
1 1 2 NA 12
NA 1 1 57 2
1 1 1 NA 2
NA NA 5 31 NA
2 1 1 NA 2
NA NA 1 7 3
1 NA NA 3 3
2 2 1 6 NA
NA 1 2 25 NA
NA NA 5 NA NA
2 1 NA NA NA
2 1 1 NA 2
NA NA NA NA 2
1 NA NA 69 7
NA 1 1 NA 3
2 1 1 NA 12
NA 1 1 74 2
NA NA 1 35 2
1 1 1 9 3
NA NA 1 6 NA
2 1 1 82 NA
NA 1 1 NA 2
2 NA 1 NA 2
1 NA 1 55 11
1 1 1 57 2
NA 1 1 NA 12
2 8 NA 53 2
2 1 1 51 2
NA 1 1 29 NA
1 NA 1 68 2
NA 1 1 35 NA
NA 1 NA 35 NA
1 1 NA 1 NA
2 1 1 NA 12
1 2 NA NA 3
2 1 1 66 6
2 NA 1 51 6
2 NA 1 57 2
1 1 1 24 NA
NA NA 5 16 3
1 NA NA 27 6
1 2 NA 35 12
2 1 NA NA 2
1 1 1 7 3
NA 7 NA 1 3
NA NA 5 28 12
NA 1 1 NA 2
2 1 NA NA 2
2 NA 1 24 2
2 1 1 47 NA
1 1 1 NA NA
1 6 NA 29 NA
2 1 5 NA 3
2 NA NA NA 2
2 1 1 22 NA
NA 6 NA 38 2
NA 6 1 NA 3
1 6 NA 4 3
2 1 NA NA 2
NA 1 1 12 NA
1 NA 1 35 2
2 5 1 40 NA
2 1 1 75 2
2 2 1 12 3
NA 2 NA 2 3
2 NA 2 NA 2
NA NA 2 13 3
1 1 2 7 NA
2 1 1 40 NA
NA NA 1 17 NA
NA 1 NA 19 NA
NA NA 1 43 2
1 2 1 52 3
1 2 1 50 3
NA 1 1 38 2
NA 8 NA NA 3
2 8 NA 2 NA
NA NA NA NA 2
1 1 1 1 NA
2 NA 2 NA 2
1 1 1 NA 3
2 1 1 NA 2
NA 1 1 NA NA
1 NA 1 12 NA
NA NA 1 62 2
1 NA 1 NA 2
1 1 NA 48 NA
NA NA 1 NA 2
2 NA 1 69 2
NA NA 1 NA 2
1 NA 1 95 NA
2 NA NA 61 NA
2 1 1 55 2
1 1 NA 15 3
1 1 NA NA 3
2 1 1 4 8
NA 1 1 49 12
NA 1 1 49 2
1 1 1 15 3
2 1 1 72 2
1 1 NA 46 NA
2 1 NA NA 2
NA 1 1 NA 2
1 NA NA 14 NA
2 NA NA NA 2
2 NA 1 17 3
1 NA 1 NA 2
NA NA 1 16 3
2 NA 1 14 NA
2 NA NA 10 3
2 1 1 48 2
1 1 NA NA 3
1 1 NA 16 3
2 1 NA NA 2
2 NA NA NA NA
NA 1 NA 5 3
2 1 NA 70 2
2 NA NA NA 2
1 NA 1 59 2
NA NA NA 63 2
NA 1 NA 60 2
2 1 NA 68 NA
2 1 1 64 2
2 NA 1 62 12
2 1 NA 51 2
NA 1 NA 4 NA
NA 1 NA 70 2
2 6 1 16 3
NA 1 NA 67 2
1 NA NA NA NA
1 1 1 16 NA
NA 1 1 NA 2
2 1 1 18 3
1 1 1 14 3
2 NA 1 1 3
NA 1 1 33 NA
1 NA 1 NA 12
NA 1 NA 45 NA
2 1 NA 15 5
2 1 1 66 9
2 2 NA 42 2
NA 2 1 21 3
NA NA NA NA 3
2 1 1 NA 2
2 1 NA NA 2
NA 1 2 4 3
NA NA NA 1 NA
NA 1 1 43 2
2 1 1 21 3
1 1 NA NA 3
2 2 1 NA 2
NA 1 1 51 2
2 NA 1 13 3
2 NA 1 11 3
2 1 1 NA 2
1 NA NA 26 NA
NA 1 NA 74 NA
NA 1 NA NA 7
2 1 NA NA NA
2 1 1 12 NA
NA NA NA 6 3
NA 1 NA NA 2
2 NA 1 80 NA
1 2 NA 7 3
NA 2 1 59 7
2 NA 1 NA NA
NA 8 1 43 2
1 1 NA 10 3
2 8 1 7 NA
2 1 NA 38 12
1 2 1 19 3
1 NA 1 14 NA
NA NA NA NA 3
NA NA 1 NA 2
2 NA 2 NA 8
2 6 NA NA 2
NA 6 1 NA 3
1 6 1 4 3
1 1 1 31 2
NA NA 1 69 2
2 1 NA NA 2
2 NA 1 NA NA
NA 1 1 53 3
2 7 2 NA 2
NA 8 2 9 3
2 NA NA 7 3
1 1 1 42 2
NA NA NA 14 3
NA 1 1 11 3
NA NA NA 68 NA
NA 1 NA 34 NA
NA 1 1 67 7
2 1 1 NA 7
2 1 1 30 12
2 NA 1 NA 2
2 1 1 30 3
2 NA 1 89 7
NA 1 NA NA 2
2 NA NA NA 2
NA NA 1 23 NA
NA 2 1 NA 12
NA 8 1 NA 12
2 NA 1 58 2
2 1 1 25 3
NA 1 1 15 NA
NA 2 NA NA 2
2 1 1 60 2
2 7 NA NA 12
1 1 1 NA 3
2 1 NA NA 2
NA 1 NA NA 3
2 1 1 71 2
2 1 1 50 3
2 1 NA 25 2
NA 1 1 85 2
1 1 1 49 2
1 1 1 19 NA
1 NA 1 52 2
2 1 1 NA 7
1 1 1 NA 12
NA 2 NA NA 2
NA 2 NA 5 NA
2 1 NA 53 NA
2 8 NA 59 11
2 1 1 NA 2
NA 1 NA NA NA
2 2 1 21 3
1 2 NA 9 NA
1 NA 1 69 2
1 1 1 61 NA
1 1 NA 33 12
2 NA 1 NA 3
2 1 1 NA 2
1 1 1 NA 7
1 NA 1 54 12
1 NA 1 23 3
NA 1 1 22 3
2 6 NA 42 2
NA 6 1 6 3
NA 6 1 5 3
1 2 1 NA 2
NA NA 2 NA 2
1 1 2 6 NA
1 NA 2 2 NA
1 NA 1 43 2
1 6 1 15 NA
2 6 1 NA NA
NA 1 NA NA 2
1 1 1 59 2
2 4 1 64 2
NA NA 1 41 NA
NA NA NA 40 3
2 1 NA 50 NA
2 1 NA 58 2
1 1 1 30 3
2 1 NA 26 NA
2 1 3 NA 2
NA 1 1 58 2
2 1 1 28 NA
NA NA 1 NA 11
2 1 1 NA NA
NA NA 5 NA NA
1 NA NA 94 2
2 1 3 65 2
1 NA 3 32 3
NA 1 1 29 2
1 1 1 NA NA
1 1 NA 2 NA
2 1 1 45 2
NA NA 1 48 NA
2 1 NA NA 3
1 NA 1 24 NA
2 1 1 NA 2
2 2 1 NA NA
2 1 NA NA 2
2 1 1 59 NA
1 1 NA NA 2
NA NA 1 29 3
1 1 1 25 3
NA 6 1 40 2
2 6 1 15 3
1 6 1 11 NA
2 1 1 NA 12
2 1 1 42 2
2 NA 1 6 NA
2 1 1 1 3
2 2 1 62 2
1 NA 1 NA 2
1 1 1 4 3
NA 1 1 NA NA
NA 1 1 13 3
2 NA 1 NA NA
NA 1 NA NA 2
1 NA 1 15 3
NA 1 NA 13 3
NA 1 NA NA 2
2 1 NA 10 NA
1 1 4 7 3
NA 1 1 85 NA
1 2 NA NA NA
NA 2 1 15 NA
2 NA NA NA 3
1 1 1 NA 2
1 1 1 NA 12
2 1 1 41 2
2 NA 1 13 3
NA 1 1 8 NA
2 1 1 NA 2
1 1 NA 25 3
2 1 1 23 3
2 1 NA 23 NA
2 1 1 NA 12
2 7 5 62 2
2 4 1 22 3
NA NA NA 55 12
1 1 1 28 NA
1 NA 2 25 NA
NA 1 1 31 2
1 1 1 4 3
2 1 1 NA NA
2 NA 1 NA 2
1 NA NA 18 3
1 1 1 15 3
NA 1 1 56 12
1 NA 1 52 3
2 1 1 48 2
1 NA NA 17 NA
1 1 NA 49 2
NA NA NA 20 3
2 NA 1 NA 2
2 NA 1 80 NA
1 1 1 61 3
1 NA NA NA NA
1 1 1 21 NA
NA NA NA 50 2
2 NA NA 16 3
1 NA 1 NA NA
1 1 1 NA 3
2 NA 1 NA 2
2 1 1 84 NA
2 NA NA 27 12
NA NA 1 NA 12
1 1 1 33 2
1 NA 1 NA 3
2 7 NA 15 NA
1 NA 2 20 3
NA 1 1 NA NA
NA 1 NA 49 12
1 NA NA NA 2
2 7 2 83 2
1 1 1 35 2
2 1 1 8 3
2 NA 1 59 2
NA 2 NA NA 2
NA NA 1 17 3
1 2 1 15 3
NA NA NA NA 2
NA 6 1 22 12
2 1 1 NA 7
NA 1 NA 55 11
NA 3 NA 27 12
NA 1 1 NA NA
NA 1 1 14 3
1 NA 1 10 NA
NA 1 1 NA 2
1 2 1 6 NA
NA 1 1 NA 2
1 1 1 NA 2
NA NA 1 NA NA
1 8 1 NA NA
1 8 1 6 3
1 NA 1 NA 12
2 NA 1 56 2
2 1 NA NA 12
2 NA NA 61 2
1 NA 1 16 8
2 NA 1 6 NA
2 1 NA 49 2
1 1 1 26 NA
2 NA NA 17 3
1 1 NA NA 2
NA 1 NA 7 3
2 1 2 47 2
NA NA 2 17 NA
2 1 2 14 NA
2 1 1 NA 2
NA NA 4 56 NA
2 1 1 74 NA
2 1 1 21 8
2 NA NA 2 8
NA 1 NA NA 2
2 NA 1 1 NA
2 1 1 69 2
NA 7 NA NA 2
NA 1 1 NA 2
1 1 2 16 NA
1 1 2 15 3
2 1 2 12 NA
