"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage" "householdsize"
1363 2 1 7 5 47 1 1 2 7 5 64 1
1364 2 2 1 1 37 2 1 2 1 1 56 1
1365 2 1 1 1 29 11 2 2 1 1 30 2
1365 3 1 1 1 1 2 2 2 1 1 30 2
1366 2 1 1 1 43 2 2 2 3 1 66 1
1367 2 2 1 1 32 1 1 1 1 1 56 3
1367 3 2 1 1 27 2 1 1 1 1 56 3
1367 4 2 1 1 14 2 1 1 1 1 56 3
1368 2 1 1 1 55 1 1 2 1 1 54 3
1368 3 2 1 1 27 2 1 2 1 1 54 3
1368 4 2 1 1 22 2 1 2 1 1 54 3
1369 2 2 2 1 22 2 1 2 2 1 52 3
1369 3 2 2 1 8 2 1 2 2 1 52 3
1369 4 1 2 1 5 7 1 2 2 1 52 3
1370 2 2 1 1 63 1 1 1 1 1 74 1
1371 2 2 1 1 46 1 1 1 1 1 43 1
1372 2 2 1 1 61 1 1 1 1 1 74 1
1373 2 2 1 1 25 11 1 1 1 1 28 1
1374 2 1 1 1 10 4 2 1 1 1 34 3
1374 3 2 1 1 17 2 2 1 1 1 34 3
1374 4 1 1 1 11 2 2 1 1 1 34 3
1375 2 2 1 2 79 1 2 1 1 2 56 3
1375 3 1 1 2 25 2 2 1 1 2 56 3
1375 4 1 7 2 10 2 2 1 1 2 56 3
1376 2 2 1 1 52 1 1 1 1 1 79 1
1377 2 2 2 1 50 11 2 1 2 1 56 1
1378 2 2 1 1 57 1 1 1 1 1 59 1
1379 2 1 1 1 54 1 1 2 1 1 50 2
1379 3 2 1 1 21 2 1 2 1 1 50 2
1380 2 2 1 1 22 11 2 2 1 1 20 1
1381 2 2 8 2 60 1 1 1 1 2 61 3
1381 3 2 1 2 38 2 1 1 1 2 61 3
1381 4 1 1 2 29 2 1 1 1 2 61 3
1382 2 1 7 2 34 1 2 2 7 2 33 3
1382 3 1 9 2 13 2 2 2 7 2 33 3
1382 4 1 9 2 7 2 2 2 7 2 33 3
1383 2 1 6 1 75 1 2 2 6 5 81 2
1383 3 2 6 1 49 12 2 2 6 5 81 2
1384 2 2 1 1 42 1 2 1 1 1 50 2
1384 3 2 1 1 13 4 2 1 1 1 50 2
1385 2 2 1 1 13 11 2 1 1 1 68 1
1386 2 2 1 1 37 1 1 1 1 1 50 3
1386 3 2 1 1 18 2 1 1 1 1 50 3
1386 4 1 1 1 15 2 1 1 1 1 50 3
1387 2 1 1 1 71 1 1 2 1 1 70 1
1388 2 2 1 1 34 1 1 1 1 1 57 3
1388 3 2 1 2 14 2 1 1 1 1 57 3
1388 4 1 1 1 12 2 1 1 1 1 57 3
1389 2 2 8 1 67 1 1 1 8 1 62 2
1389 3 1 1 1 27 7 1 1 8 1 62 2
1390 2 1 6 5 70 5 2 1 2 5 78 1
1391 2 1 1 1 33 11 2 1 1 1 57 3
1391 3 1 1 1 29 2 2 1 1 1 57 3
1391 4 2 1 1 23 2 2 1 1 1 57 3
1392 2 1 2 1 52 1 1 2 2 1 84 1
1393 2 2 1 1 42 1 1 1 1 1 48 1
1394 2 2 2 1 52 1 1 1 2 1 50 1
1395 2 2 1 1 70 1 1 1 1 1 70 1
1396 2 2 1 1 11 2 1 2 1 1 43 2
1396 3 2 1 1 11 2 1 2 1 1 43 2
1397 2 1 1 1 22 2 1 2 1 1 49 2
1397 3 2 1 1 20 2 1 2 1 1 49 2
1398 2 1 1 1 57 1 1 2 1 1 62 1
1399 2 2 1 1 53 1 1 1 1 1 56 1
1400 2 2 1 1 21 2 1 1 1 1 51 1
1401 2 1 1 1 41 1 1 2 1 1 41 2
1401 3 2 1 1 13 2 1 2 1 1 41 2
1402 2 2 1 1 68 1 1 1 1 1 61 2
1402 3 2 1 1 80 6 1 1 1 1 61 2
1403 2 2 1 1 40 1 1 1 1 1 52 3
1403 3 1 1 1 18 2 1 1 1 1 52 3
1403 4 1 1 1 3 2 1 1 1 1 52 3
1404 2 2 1 1 40 1 1 1 1 1 45 3
1404 3 2 1 1 2 2 1 1 1 1 45 3
1404 4 2 1 1 9 3 1 1 1 1 45 3
1405 2 1 2 1 40 1 1 2 2 1 38 2
1405 3 2 2 1 7 2 1 2 2 1 38 2
1406 2 2 1 1 51 1 2 1 1 1 59 2
1406 3 2 1 1 42 3 2 1 1 1 59 2
1407 2 2 1 1 85 1 1 1 3 1 64 1
1408 2 1 4 1 55 5 1 1 4 1 50 3
1408 3 1 4 1 66 11 1 1 4 1 50 3
1408 4 1 3 2 34 11 1 1 4 1 50 3
1409 2 2 3 1 7 3 1 2 3 1 24 1
1410 2 1 1 1 62 1 1 2 1 1 41 3
1410 3 1 1 1 20 2 1 2 1 1 41 3
1410 4 1 1 1 3 2 1 2 1 1 41 3
1411 2 2 1 1 7 2 2 1 1 1 29 2
1411 3 2 1 1 26 11 2 1 1 1 29 2
1412 2 2 1 1 10 12 1 2 1 1 39 2
1412 3 2 1 1 15 2 1 2 1 1 39 2
1413 2 1 1 2 70 1 1 2 1 1 52 1
1414 2 2 1 1 67 1 1 1 1 1 62 1
1415 2 2 1 2 75 1 1 1 1 2 40 3
1415 3 1 7 2 17 2 1 1 1 2 40 3
1415 4 2 1 1 94 11 1 1 1 2 40 3
1416 2 2 1 1 61 1 1 1 1 1 57 1
1417 2 2 7 2 29 2 1 1 7 2 36 3
1417 3 2 1 2 13 2 1 1 7 2 36 3
1417 4 1 7 2 10 4 1 1 7 2 36 3
1418 2 1 1 1 75 1 1 2 1 1 75 1
1419 2 2 2 1 11 2 2 2 2 1 33 3
1419 3 1 2 1 6 2 2 2 2 1 33 3
1419 4 2 2 1 57 6 2 2 2 1 33 3
1420 2 1 1 1 38 1 1 2 1 1 37 2
1420 3 1 1 1 6 3 1 2 1 1 37 2
1421 2 1 1 1 82 1 1 2 1 1 65 1
1422 2 2 7 3 4 4 2 2 2 5 45 1
1423 2 2 1 1 31 1 1 1 1 1 39 3
1423 3 2 1 1 5 2 1 1 1 1 39 3
1423 4 1 1 1 6 2 1 1 1 1 39 3
1424 2 1 1 1 65 1 1 2 1 1 65 1
1425 2 1 1 1 66 1 1 2 1 1 53 1
1426 2 1 1 1 54 1 1 2 1 1 44 2
1426 3 1 1 1 12 2 1 2 1 1 44 2
1427 2 1 1 1 32 1 2 2 1 1 26 1
1428 2 1 1 1 71 1 1 2 1 1 69 1
1429 2 1 1 5 78 1 1 2 1 1 63 2
1429 3 1 1 1 32 2 1 2 1 1 63 2
1430 2 2 2 4 51 1 1 1 2 1 57 1
1431 2 2 1 1 66 1 1 1 1 1 69 1
1432 2 1 1 1 48 1 1 2 1 1 44 2
1432 3 2 1 1 8 2 1 2 1 1 44 2
1433 2 2 1 1 56 1 1 1 1 1 57 1
1434 2 1 1 1 34 1 1 2 1 1 78 1
1435 2 1 1 1 92 1 1 2 1 1 45 1
1436 2 2 6 1 17 2 1 2 1 1 58 1
1437 2 1 1 1 24 11 1 1 1 1 49 2
1437 3 2 1 1 59 11 1 1 1 1 49 2
1438 2 2 2 1 61 5 2 2 2 1 70 1
1439 2 2 1 1 79 1 1 1 1 1 90 1
1440 2 1 1 1 44 1 1 2 1 1 44 3
1440 3 2 1 1 14 2 1 2 1 1 44 3
1440 4 2 1 1 11 4 1 2 1 1 44 3
1441 2 1 6 1 9 2 1 2 2 1 29 3
1441 3 2 8 1 4 2 1 2 2 1 29 3
1441 4 1 8 1 1 2 1 2 2 1 29 3
1442 2 2 1 1 44 1 1 1 1 1 70 2
1442 3 2 1 1 18 2 1 1 1 1 70 2
1443 2 2 1 1 61 1 1 1 1 1 61 1
1444 2 2 1 1 94 1 1 1 1 1 94 1
1445 2 1 2 1 24 2 1 1 2 1 51 3
1445 3 2 2 1 79 6 1 1 2 1 51 3
1445 4 2 2 1 53 10 1 1 2 1 51 3
1446 2 2 1 1 45 1 1 1 1 1 55 1
1447 2 1 1 1 39 11 1 2 1 1 34 3
1447 3 1 1 1 37 11 1 2 1 1 34 3
1447 4 1 1 1 34 11 1 2 1 1 34 3
1448 2 1 1 1 20 2 2 2 1 1 53 3
1448 3 2 1 1 18 2 2 2 1 1 53 3
1448 4 1 1 1 13 2 2 2 1 1 53 3
1449 2 2 2 1 19 2 1 2 2 1 54 2
1449 3 1 2 1 62 11 1 2 2 1 54 2
1450 2 2 1 1 32 1 2 1 1 1 33 1
1451 2 2 2 1 43 1 1 1 2 1 58 1
1452 2 2 1 1 72 1 1 1 1 1 68 1
1453 2 2 4 1 26 1 2 1 1 1 41 1
1454 2 2 1 2 53 1 2 1 1 2 58 2
1454 3 1 1 2 32 2 2 1 1 2 58 2
1455 2 2 1 1 49 11 1 1 1 1 48 1
1456 2 2 1 1 58 1 1 1 1 1 63 1
1457 2 1 1 1 16 2 2 2 1 1 39 3
1457 3 1 1 1 13 2 2 2 1 1 39 3
1457 4 2 1 1 17 2 2 2 1 1 39 3
1458 2 1 2 1 50 2 1 2 2 1 71 1
1459 2 2 1 1 43 1 1 1 1 1 47 3
1459 3 2 1 1 9 2 1 1 1 1 47 3
1459 4 1 1 1 7 2 1 1 1 1 47 3
1460 2 2 1 1 73 1 1 1 1 1 59 1
1461 2 2 1 1 64 1 2 1 1 1 44 1
1462 2 1 1 1 2 2 1 2 1 1 35 2
1462 3 1 1 1 45 1 1 2 1 1 35 2
1463 2 2 1 1 70 1 1 1 1 1 64 1
1464 2 2 1 1 51 1 1 1 1 1 53 2
1464 3 2 1 1 14 2 1 1 1 1 53 2
1465 2 1 1 1 51 11 1 1 1 1 57 1
1466 2 2 1 1 48 1 1 1 1 1 54 2
1466 3 1 1 1 16 2 1 1 1 1 54 2
1467 2 2 8 1 56 1 1 1 1 1 72 1
1468 2 2 1 1 48 1 1 1 1 1 48 2
1468 3 2 1 1 18 2 1 1 1 1 48 2
1469 2 2 1 1 61 1 1 1 1 1 56 1
1470 2 2 1 1 76 1 1 1 1 1 71 1
1471 2 2 1 1 51 1 1 1 1 1 51 1
1472 2 2 6 1 61 1 1 1 1 1 52 2
1472 3 2 8 1 18 3 1 1 1 1 52 2
1473 2 1 1 2 34 11 2 1 1 1 37 1
1474 2 1 1 1 49 1 1 2 1 1 51 1
1475 2 2 1 1 60 1 1 1 1 1 79 1
1476 2 1 1 1 14 2 2 1 1 1 51 3
1476 3 1 1 1 41 10 2 1 1 1 51 3
1476 4 2 1 1 11 2 2 1 1 1 51 3
1477 2 1 1 1 5 2 1 1 1 1 28 1
1478 2 2 1 1 80 1 1 1 1 1 88 1
1479 2 2 1 1 6 3 1 2 1 1 42 1
1480 2 1 1 1 69 1 1 2 1 1 59 1
1481 2 1 2 1 79 11 1 2 2 1 46 1
1482 2 1 1 2 60 2 1 2 1 2 84 1
1483 2 1 1 1 19 2 1 2 1 1 56 1
1484 2 2 1 2 81 1 1 1 1 2 86 1
1485 2 1 1 1 60 11 1 2 8 1 64 1
1486 2 2 8 1 70 1 1 1 1 1 85 1
1487 2 2 2 1 49 1 1 1 2 1 60 2
1487 3 2 2 1 24 2 1 1 2 1 60 2
1488 2 2 1 1 62 1 1 1 1 1 88 1
1489 2 1 1 1 89 1 1 2 1 1 64 1
1490 2 1 6 1 23 11 2 1 6 1 24 1
1491 2 2 1 1 55 1 1 1 1 1 57 3
1491 3 1 1 1 22 2 1 1 1 1 57 3
1491 4 1 1 1 19 2 1 1 1 1 57 3
1492 2 2 1 1 64 1 1 1 1 1 65 1
1493 2 2 1 1 54 1 1 1 1 1 54 3
1493 3 2 1 1 22 2 1 1 1 1 54 3
1493 4 1 1 1 20 2 1 1 1 1 54 3
1494 2 1 1 1 70 1 1 2 1 1 54 1
1495 2 2 1 1 34 1 1 1 1 1 34 1
1496 2 2 1 1 33 1 1 1 1 1 38 1
1497 2 1 1 1 29 1 2 2 1 1 32 2
1497 3 1 1 1 1 2 2 2 1 1 32 2
1498 2 2 1 1 40 1 1 1 1 1 64 2
1498 3 2 1 1 17 7 1 1 1 1 64 2
1499 2 2 2 1 50 1 2 1 2 1 53 2
1499 3 1 2 1 20 2 2 1 2 1 53 2
1500 2 1 1 1 42 11 1 2 1 1 40 1
1501 2 1 1 1 47 1 2 2 1 1 35 2
1501 3 2 1 1 10 2 2 2 1 1 35 2
1502 2 2 4 1 88 1 1 1 4 1 94 2
1502 3 1 4 1 62 2 1 1 4 1 94 2
1503 2 2 3 1 51 11 2 1 2 1 46 2
1503 3 1 2 1 12 2 2 1 2 1 46 2
1504 2 1 1 1 55 1 1 2 1 1 61 1
1505 2 1 2 1 56 2 1 2 2 1 90 1
1506 2 2 1 1 58 1 1 1 1 1 66 1
1507 2 1 2 1 19 2 2 2 2 1 40 2
1507 3 2 2 1 18 2 2 2 2 1 40 2
1508 2 2 1 1 48 1 1 1 1 1 33 3
1508 3 2 1 1 3 4 1 1 1 1 33 3
1508 4 1 1 1 1 2 1 1 1 1 33 3
1509 2 2 1 1 41 1 1 1 1 1 34 1
1510 2 2 1 1 13 2 2 1 1 1 32 3
1510 3 2 1 1 11 2 2 1 1 1 32 3
1510 4 2 1 1 30 11 2 1 1 1 32 3
1511 2 2 1 1 8 2 1 2 1 1 49 2
1511 3 1 1 1 92 1 1 2 1 1 49 2
1512 2 1 6 1 43 1 2 2 6 1 42 3
1512 3 2 6 1 21 2 2 2 6 1 42 3
1512 4 1 6 1 18 2 2 2 6 1 42 3
1513 2 2 1 1 64 11 1 1 1 1 75 1
1514 2 2 1 1 62 10 1 1 8 1 70 1
1515 2 2 1 1 45 1 2 1 1 1 31 1
1516 2 2 1 1 31 11 1 1 1 1 31 3
1516 3 1 1 5 9 2 1 1 1 1 31 3
1516 4 1 8 1 8 12 1 1 1 1 31 3
1517 2 2 1 1 46 1 1 1 1 1 55 2
1517 3 2 1 1 18 4 1 1 1 1 55 2
1518 2 2 6 1 36 1 2 1 6 1 50 2
1518 3 1 6 1 19 2 2 1 6 1 50 2
1519 2 2 1 1 61 1 1 1 1 1 83 1
1520 2 2 1 2 13 2 2 2 1 5 33 1
1521 2 2 1 1 38 1 1 1 8 1 47 3
1521 3 2 1 1 18 2 1 1 8 1 47 3
1521 4 1 1 1 14 2 1 1 8 1 47 3
1522 2 2 1 2 24 1 2 1 1 1 37 3
1522 3 1 1 2 18 2 2 1 1 1 37 3
1522 4 1 1 2 7 2 2 1 1 1 37 3
1523 2 1 7 1 23 1 2 2 2 1 72 1
1524 2 2 1 1 31 1 1 1 1 1 51 1
1525 2 2 1 1 62 1 1 1 1 1 68 1
1526 2 2 1 1 33 1 1 1 1 1 53 2
1526 3 1 1 1 11 2 1 1 1 1 53 2
1527 2 1 1 1 59 1 1 2 1 1 69 1
1528 2 2 1 1 70 1 1 1 1 1 49 1
1529 2 2 1 1 52 1 1 1 1 1 52 1
1530 2 2 1 1 62 1 1 1 1 1 64 1
1531 2 2 2 1 24 11 2 2 1 1 25 1
1532 2 1 2 1 33 1 1 2 2 1 31 3
1532 3 1 2 1 4 2 1 2 2 1 31 3
1532 4 2 2 1 12 2 1 2 2 1 31 3
1533 2 2 1 1 9 2 1 1 1 1 40 2
1533 3 1 1 1 54 11 1 1 1 1 40 2
1534 2 1 1 1 47 1 1 2 1 1 48 1
1535 2 1 1 1 72 5 1 1 1 2 71 1
1536 2 2 1 1 65 1 1 1 1 1 67 1
1537 2 2 1 1 10 2 2 2 1 1 33 3
1537 3 2 1 1 9 2 2 2 1 1 33 3
1537 4 2 1 1 6 2 2 2 1 1 33 3
1538 2 2 1 1 57 1 1 1 1 1 58 1
1539 2 2 1 1 69 1 1 1 1 1 61 3
1539 3 1 1 1 32 2 1 1 1 1 61 3
1539 4 2 1 1 88 6 1 1 1 1 61 3
1540 2 1 1 1 30 11 2 1 8 1 30 1
1541 2 2 1 1 36 1 1 1 1 1 65 1
1542 2 2 2 1 42 1 1 1 2 1 41 2
1542 3 2 2 1 14 2 1 1 2 1 41 2
1543 2 2 1 1 73 1 1 1 1 1 74 1
1544 2 1 1 1 8 2 1 2 1 1 87 3
1544 3 1 1 1 18 7 1 2 1 1 87 3
1544 4 1 1 1 49 1 1 2 1 1 87 3
1545 2 2 1 1 47 1 1 1 1 1 47 3
1545 3 1 1 1 12 2 1 1 1 1 47 3
1545 4 2 1 1 9 2 1 1 1 1 47 3
1546 2 1 1 1 40 2 1 2 1 1 71 1
1547 2 1 1 1 70 1 1 2 1 1 79 1
1548 2 2 1 1 60 1 1 1 1 1 61 1
1549 2 2 1 2 59 1 1 1 1 2 65 2
1549 3 1 1 2 20 2 1 1 1 2 65 2
1550 2 2 2 1 19 5 1 2 8 1 40 3
1550 3 1 2 1 76 1 1 2 8 1 40 3
1550 4 1 2 1 52 10 1 2 8 1 40 3
1551 2 2 1 1 50 1 2 1 1 1 57 2
1551 3 1 1 1 56 11 2 1 1 1 57 2
1552 2 1 1 1 60 1 1 2 1 1 58 1
1553 2 1 1 1 59 1 1 2 1 1 81 1
1554 2 2 1 1 75 1 1 1 1 1 75 1
1555 2 1 2 1 90 6 2 2 2 1 26 2
1555 3 2 2 1 59 6 2 2 2 1 26 2
1556 2 2 1 1 65 1 1 1 1 1 67 1
1557 2 2 6 1 55 11 1 1 1 1 60 1
1558 2 2 1 1 61 1 1 1 1 1 56 1
1559 2 2 1 1 45 11 2 2 1 1 49 1
1560 2 2 1 1 71 1 1 1 1 1 73 1
1561 2 1 1 1 44 1 1 2 1 1 43 1
1562 2 2 1 1 33 1 2 1 1 1 28 1
1563 2 2 1 1 37 1 1 1 1 1 49 1
1564 2 2 1 1 62 1 1 1 1 1 62 1
1565 2 2 1 1 32 1 1 1 1 1 52 2
1565 3 1 1 1 12 2 1 1 1 1 52 2
1566 2 2 1 1 48 1 1 1 1 1 54 3
1566 3 1 1 1 19 2 1 1 1 1 54 3
1566 4 1 1 1 16 2 1 1 1 1 54 3
1567 2 1 1 1 65 1 2 2 1 1 65 1
1568 2 2 1 2 36 1 1 1 7 2 31 1
1569 2 2 1 1 63 1 1 1 1 1 67 1
1570 2 1 2 1 1 11 2 2 1 1 29 1
1571 2 1 1 1 42 1 1 2 1 1 37 1
1572 2 2 1 1 65 1 2 1 1 1 78 1
1573 2 2 1 1 73 1 1 1 1 5 69 1
1574 2 2 1 1 48 1 1 1 1 1 50 3
1574 3 1 1 1 22 2 1 1 1 1 50 3
1574 4 1 1 1 19 2 1 1 1 1 50 3
1575 2 1 1 1 76 1 1 2 1 1 64 1
1576 2 2 7 1 35 1 2 1 1 1 40 2
1576 3 2 9 1 13 2 2 1 1 1 40 2
1577 2 1 1 1 34 1 2 2 1 1 57 3
1577 3 1 1 1 26 2 2 2 1 1 57 3
1577 4 2 1 1 26 2 2 2 1 1 57 3
1578 2 2 1 4 80 1 1 1 1 1 82 1
1579 2 1 1 1 11 4 1 2 1 1 54 2
1579 3 2 1 1 40 11 1 2 1 1 54 2
1580 2 2 1 1 57 1 1 1 1 1 60 1
1581 2 2 1 1 56 2 1 2 1 1 71 1
1582 2 1 1 1 42 12 1 2 1 1 44 1
1583 2 2 1 1 57 1 1 1 1 1 55 2
1583 3 1 1 1 28 2 1 1 1 1 55 2
1584 2 2 1 1 40 1 1 1 1 1 34 2
1584 3 2 1 1 22 10 1 1 1 1 34 2
1585 2 2 1 1 73 1 1 1 1 1 80 1
1586 2 1 1 1 76 1 1 2 1 1 74 1
1587 2 1 2 1 6 2 2 2 2 1 26 3
1587 3 1 2 1 5 2 2 2 2 1 26 3
1587 4 2 2 1 4 2 2 2 2 1 26 3
1588 2 2 1 1 57 1 1 1 1 1 57 1
1589 2 1 1 1 27 2 1 1 1 1 58 2
1589 3 2 1 1 25 2 1 1 1 1 58 2
1590 2 2 1 1 51 11 1 1 1 1 53 1
1591 2 2 1 1 74 1 1 1 1 1 55 2
1591 3 2 1 1 24 2 1 1 1 1 55 2
1592 2 2 1 1 31 1 1 1 1 1 45 2
1592 3 1 1 1 9 2 1 1 1 1 45 2
1593 2 1 6 1 32 2 2 2 6 1 73 3
1593 3 2 8 1 2 2 2 2 6 1 73 3
1593 4 2 6 1 33 3 2 2 6 1 73 3
1594 2 1 8 1 29 5 1 1 1 1 32 1
1595 2 2 1 1 47 1 1 1 1 1 32 3
1595 3 2 1 1 3 2 1 1 1 1 32 3
1595 4 2 1 1 1 2 1 1 1 1 32 3
1596 2 2 1 5 9 2 2 1 1 3 49 1
1597 2 2 1 1 56 1 1 1 1 1 51 3
1597 3 2 1 1 8 2 1 1 1 1 51 3
1597 4 1 1 1 4 2 1 1 1 1 51 3
1598 2 2 1 3 68 1 1 1 1 1 80 1
1599 2 2 1 1 10 2 1 2 1 1 50 1
1600 2 2 1 1 8 2 2 2 1 1 34 3
1600 3 1 1 1 6 2 2 2 1 1 34 3
1600 4 1 1 1 46 11 2 2 1 1 34 3
1601 2 1 1 1 73 1 2 2 1 1 73 1
1602 2 1 1 3 82 1 1 2 1 5 78 1
1603 2 1 1 2 3 2 2 2 1 1 29 1
1604 2 1 1 2 16 2 1 2 1 2 37 2
1604 3 1 1 1 43 1 1 2 1 2 37 2
1605 2 2 1 1 65 1 1 1 1 1 67 1
1606 2 2 1 1 15 12 1 1 1 1 47 3
1606 3 2 1 1 6 2 1 1 1 1 47 3
1606 4 1 1 1 8 2 1 1 1 1 47 3
1607 2 2 1 1 57 1 1 1 1 1 66 1
1608 2 2 6 1 69 1 1 1 6 1 39 3
1608 3 1 6 1 7 2 1 1 6 1 39 3
1608 4 1 6 1 3 2 1 1 6 1 39 3
1609 2 1 1 1 21 1 1 2 1 1 59 1
1610 2 2 1 1 52 1 1 1 1 1 51 3
1610 3 1 1 1 20 2 1 1 1 1 51 3
1610 4 1 1 1 13 2 1 1 1 1 51 3
1611 2 2 1 1 55 1 1 1 1 1 54 2
1611 3 1 1 1 28 2 1 1 1 1 54 2
1612 2 2 7 2 81 6 1 1 7 2 38 1
1613 2 2 1 1 26 1 2 1 1 1 29 1
1614 2 2 1 1 32 11 2 2 1 1 42 1
1615 2 2 2 1 22 2 1 1 2 1 50 3
1615 3 1 2 1 18 2 1 1 2 1 50 3
1615 4 1 2 1 13 7 1 1 2 1 50 3
1616 2 1 1 2 45 1 1 2 1 2 47 1
1617 2 2 1 1 36 1 1 1 1 1 47 1
1618 2 2 1 1 55 1 1 1 1 1 66 1
1619 2 1 7 1 1 11 1 2 1 1 32 2
1619 3 1 7 1 43 11 1 2 1 1 32 2
1620 2 2 2 1 34 1 1 1 2 1 67 2
1620 3 2 2 1 6 7 1 1 2 1 67 2
1621 2 1 1 1 54 1 1 2 1 1 53 2
1621 3 1 1 1 18 2 1 2 1 1 53 2
1622 2 2 1 1 58 1 1 1 1 1 68 1
1623 2 1 1 2 54 1 2 2 1 2 57 1
1624 2 2 1 1 45 1 1 1 1 1 41 3
1624 3 1 1 1 6 2 1 1 1 1 41 3
1624 4 2 1 1 17 2 1 1 1 1 41 3
1625 2 2 1 1 73 1 1 1 1 1 77 1
1626 2 2 1 1 17 2 1 2 1 1 42 2
1626 3 2 1 1 11 2 1 2 1 1 42 2
1627 2 2 1 1 46 11 1 1 1 1 59 1
1628 2 2 4 1 64 1 2 1 4 1 55 2
1628 3 1 1 1 25 11 2 1 4 1 55 2
1629 2 2 6 1 64 1 1 1 6 1 59 3
1629 3 2 6 1 33 4 1 1 6 1 59 3
1629 4 2 6 1 24 11 1 1 6 1 59 3
1630 2 2 1 1 8 2 1 1 1 1 51 2
1630 3 1 1 1 16 2 1 1 1 1 51 2
1631 2 1 2 1 13 2 2 1 2 1 47 2
1631 3 2 2 1 7 2 2 1 2 1 47 2
1632 2 1 1 2 71 1 1 2 7 1 34 3
1632 3 2 8 2 17 2 1 2 7 1 34 3
1632 4 1 1 2 13 2 1 2 7 1 34 3
1633 2 1 8 1 20 11 2 2 1 1 21 1
1634 2 2 1 1 19 2 2 2 1 1 39 3
1634 3 2 1 1 9 2 2 2 1 1 39 3
1634 4 1 1 1 6 2 2 2 1 1 39 3
1635 2 1 1 1 17 2 1 2 1 1 46 3
1635 3 1 1 1 14 2 1 2 1 1 46 3
1635 4 2 1 1 10 2 1 2 1 1 46 3
1636 2 1 8 1 32 1 1 2 6 1 29 1
1637 2 2 1 1 65 1 1 1 1 1 65 1
1638 2 2 6 1 38 1 2 1 1 1 43 3
1638 3 2 6 1 7 2 2 1 1 1 43 3
1638 4 2 6 1 4 2 2 1 1 1 43 3
1639 2 2 1 1 68 1 1 1 1 1 60 1
1640 2 2 7 2 29 1 1 1 1 2 37 3
1640 3 2 1 2 13 2 1 1 1 2 37 3
1640 4 1 1 2 29 2 1 1 1 2 37 3
1641 2 2 8 1 34 2 2 2 1 1 56 1
1642 2 2 1 1 55 1 1 1 1 1 55 1
1643 2 2 1 1 78 1 1 1 1 1 78 1
1644 2 2 2 1 6 2 2 2 2 1 24 2
1644 3 1 2 1 4 2 2 2 2 1 24 2
1645 2 2 1 1 55 6 1 2 1 1 32 1
1646 2 2 2 1 75 1 1 1 2 1 53 1
1647 2 1 2 1 51 1 2 2 2 1 51 3
1647 3 2 2 1 40 2 2 2 2 1 51 3
1647 4 1 2 1 17 10 2 2 2 1 51 3
1648 2 1 2 1 39 2 1 2 2 1 57 3
1648 3 1 2 3 18 1 1 2 2 1 57 3
1648 4 2 8 1 80 11 1 2 2 1 57 3
1649 2 2 2 1 39 2 2 2 2 1 55 2
1649 3 1 2 1 50 11 2 2 2 1 55 2
1650 2 1 1 1 64 1 1 2 1 1 45 1
1651 2 2 1 1 61 1 1 1 1 1 45 1
1652 2 2 2 1 31 10 2 2 2 1 66 1
1653 2 1 1 1 36 1 1 2 1 1 47 1
1654 2 1 7 2 19 1 2 2 1 1 39 2
1654 3 2 8 2 15 2 2 2 1 1 39 2
1655 2 1 1 1 79 1 2 2 1 1 61 1
1656 2 2 8 1 2 2 1 2 6 1 41 2
1656 3 2 8 1 8 7 1 2 6 1 41 2
1657 2 1 1 1 56 1 1 2 1 1 66 3
1657 3 1 1 1 56 12 1 2 1 1 66 3
1657 4 1 2 1 36 12 1 2 1 1 66 3
1658 2 1 1 4 71 1 2 2 1 5 57 1
1659 2 1 2 1 3 2 1 2 2 1 52 2
1659 3 2 2 1 21 2 1 2 2 1 52 2
1660 2 1 4 1 33 1 2 2 1 1 29 1
1661 2 1 1 1 50 11 1 1 5 1 64 1
1662 2 2 1 1 17 2 2 1 1 1 54 1
1663 2 2 1 1 31 1 2 1 1 1 34 3
1663 3 1 1 1 11 4 2 1 1 1 34 3
1663 4 2 1 1 10 4 2 1 1 1 34 3
1664 2 2 1 1 34 1 1 1 1 1 38 2
1664 3 2 1 1 15 2 1 1 1 1 38 2
1665 2 2 1 2 16 2 2 2 1 2 50 3
1665 3 2 1 2 14 10 2 2 1 2 50 3
1665 4 2 7 2 31 12 2 2 1 2 50 3
1666 2 1 1 4 71 12 1 1 1 4 69 3
1666 3 2 1 4 68 12 1 1 1 4 69 3
1666 4 1 1 5 68 12 1 1 1 4 69 3
1667 2 1 1 1 83 1 1 2 1 1 56 1
1668 2 1 1 1 60 1 1 2 1 1 54 1
1669 2 2 1 1 39 1 1 1 1 1 77 1
1670 2 2 1 1 31 1 2 1 1 1 30 1
1671 2 1 1 1 33 1 1 2 1 1 59 2
1671 3 2 1 1 51 2 1 2 1 1 59 2
1672 2 1 1 1 33 2 1 1 1 1 66 1
1673 2 2 1 1 58 1 1 1 1 1 60 1
1674 2 1 1 1 68 1 1 2 1 1 58 3
1674 3 2 1 1 1 7 1 2 1 1 58 3
1674 4 2 1 1 33 9 1 2 1 1 58 3
1675 2 2 1 1 52 1 1 1 1 1 54 1
1676 2 1 1 1 56 1 2 2 1 1 52 1
1677 2 2 1 1 58 1 1 1 1 1 60 1
1678 2 1 2 1 80 1 1 2 2 1 47 3
1678 3 1 2 1 6 2 1 2 2 1 47 3
